step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y
1,0,0.22569477558135986,0.08096007257699966,2.6385960578918457,0.0,0.0,1,0,1,0,0.007645460311323404,0.0019593387842178345,0.12039519846439362,0.004110296256840229,0.01927715539932251,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,1,0.0748559907078743,0.3194804787635803,-1.0721566677093506,0.0,0.0,1,0,1,0,0.008455268107354641,0.0013321629958227277,0.12021256238222122,0.0016829220112413168,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,2,0.3767530024051666,0.31929928064346313,-0.2978336215019226,0.0,0.0,1,0,1,0,0.016508515924215317,0.002071524504572153,0.11141995340585709,0.021999835968017578,0.0,0.007402658462524414,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
1,3,0.37668895721435547,0.2013140469789505,0.5694777369499207,0.0,0.0,1,0,1,0,0.01276642270386219,0.0010650346521288157,0.1161685362458229,0.014062571339309216,0.0,0.05555582046508789,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
1,4,0.07585737854242325,-0.3982280194759369,1.5337402820587158,0.0,0.0,1,0,1,0,0.006631128489971161,0.003588539781048894,0.11978032439947128,0.024957092478871346,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,5,0.22512878477573395,-0.4021088778972626,-1.5155754089355469,0.0,0.0,1,0,1,0,0.0063531361520290375,0.0033598828595131636,0.1202869787812233,0.02492544986307621,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,6,-0.08383268862962723,0.3286157250404358,2.3697447776794434,0.0,0.0,1,0,1,0,0.00812844280153513,0.0018385316943749785,0.12003302574157715,0.0019920922350138426,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,7,0.2245474010705948,-0.15951496362686157,3.034158229827881,0.0,0.0,0,0,0,-1,0.008476258255541325,0.0015616422751918435,0.11996208876371384,0.00023626834445167333,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,0,0.21771977841854095,0.08476429432630539,2.6744120121002197,0.0,0.0,2,1,1,0,0.12518547475337982,0.002763757947832346,0.0020507490262389183,0.0013006879016757011,0.8319699764251709,0.7014132738113403,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,1,0.07982876151800156,0.3111592233181,-1.033964991569519,0.0,0.0,2,1,1,0,0.12584395706653595,0.003163705812767148,0.0009923398029059172,0.001465612673200667,0.8022986054420471,0.7496005296707153,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,2,0.37892305850982666,0.3188834488391876,-0.003862488316372037,0.0,0.0,1,0,1,0,0.11879266798496246,0.009686578065156937,0.0015207468532025814,0.011003900319337845,0.7610710859298706,0.7929149866104126,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
2,3,0.37867507338523865,0.20244358479976654,0.33202412724494934,0.0,0.0,1,0,1,0,0.11763440072536469,0.010052459314465523,0.0023131403140723705,0.00961752887815237,0.6930635571479797,0.8288388252258301,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
2,4,0.07683519273996353,-0.3912482261657715,1.4269741773605347,0.0,0.0,1,0,1,0,0.12189272791147232,0.007691729348152876,0.00041553322807885706,0.024224620312452316,0.8155926465988159,0.7938486337661743,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,5,0.22541145980358124,-0.4045189619064331,-1.2690857648849487,0.0,0.0,1,0,1,0,0.12072376161813736,0.005680500995367765,0.003595735179260373,0.0247050728648901,0.81201171875,0.8051912784576416,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,6,-0.09228423237800598,0.33650070428848267,2.3898041248321533,0.0,0.0,2,1,1,0,0.12315550446510315,0.0023030955344438553,0.004541388247162104,0.0018526208586990833,0.8928095698356628,0.4096645712852478,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,7,0.21555005013942719,-0.1592501550912857,3.0982651710510254,0.0,0.0,0,0,0,-1,0.008637188002467155,0.001546592335216701,0.11981621384620667,0.0002257071464555338,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,0,0.21441546082496643,0.08676657825708389,2.3627636432647705,0.0,0.0,2,1,1,0,0.0020348685793578625,0.12684105336666107,0.0011240644380450249,0.030198970809578896,0.8089025020599365,0.801321268081665,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,1,0.08480048179626465,0.303414911031723,-0.9205952882766724,0.0,0.0,2,1,1,0,0.008100293576717377,0.12167716026306152,0.00022254037321545184,0.032769668847322464,0.8245033025741577,0.7541059255599976,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,2,0.3827342092990875,0.3195287883281708,0.3019392490386963,0.0,0.0,1,0,1,0,0.11712568998336792,0.011219759471714497,0.001654554158449173,0.01181566622108221,0.7876002788543701,0.7830222845077515,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
3,3,0.38098350167274475,0.20288679003715515,-0.01321062259376049,0.0,0.0,1,0,1,0,0.11640741676092148,0.011418377049267292,0.002174197696149349,0.01026519201695919,0.6939970254898071,0.8161150217056274,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
3,4,0.07837069779634476,-0.3802870213985443,1.4326705932617188,0.0,0.0,2,1,1,0,0.1216038316488266,0.007843485102057457,0.0005526663735508919,0.02432156726717949,0.8252079486846924,0.7444910407066345,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,5,0.22641563415527344,-0.4061964154243469,-0.8984911441802979,0.0,0.0,1,0,1,0,0.1196591779589653,0.0064904773607850075,0.003850330365821719,0.02453523315489292,0.8176995515823364,0.7978516221046448,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,6,-0.09507329761981964,0.3393557667732239,2.0892388820648193,0.0,0.0,2,1,1,0,0.003425617003813386,0.12239408493041992,0.0041803051717579365,0.025168374180793762,0.8392918109893799,0.6264258623123169,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,7,0.20481041073799133,-0.1584973931312561,3.033663272857666,0.0,0.0,0,0,0,-1,0.008396057412028313,0.0016837178263813257,0.11992022395133972,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,0,0.21248619258403778,0.08924756199121475,2.114494800567627,0.0,0.0,1,0,1,0,0.0012596941087394953,0.12790794670581818,0.0008323549409396946,0.02993043325841427,0.7965350151062012,0.8185491561889648,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,1,0.09007468819618225,0.29641205072402954,-0.9971281290054321,0.0,0.0,2,1,1,0,0.009492505341768265,0.12025754153728485,0.0002499446854926646,0.032906822860240936,0.8241552114486694,0.7707598209381104,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,2,0.38746368885040283,0.32142311334609985,0.3803867995738983,0.0,0.0,1,0,1,0,0.11329835653305054,0.014328869991004467,0.002372767310589552,0.011592736467719078,0.7829306125640869,0.7859116792678833,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
4,3,0.37923142313957214,0.20305581390857697,-0.16681325435638428,0.0,0.0,1,0,1,0,0.11859078705310822,0.009799432009458542,0.001609776634722948,0.010011935606598854,0.7158389687538147,0.8099749088287354,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
4,4,0.07976002246141434,-0.36902666091918945,1.4718701839447021,0.0,0.0,2,1,1,0,0.0024251455906778574,0.12699531018733978,0.000579536659643054,0.02073022723197937,0.838226318359375,0.7123714685440063,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,5,0.2238275557756424,-0.4035291075706482,-0.7339367270469666,0.0,0.0,1,0,1,0,0.11864065378904343,0.007907085120677948,0.003452262608334422,0.02437685616314411,0.8167184591293335,0.7987766265869141,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,6,-0.09634622186422348,0.341390460729599,2.3294360637664795,0.0,0.0,2,1,1,0,0.004203771706670523,0.12306535243988037,0.002730876673012972,0.026664795354008675,0.8392471671104431,0.6464418768882751,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,7,0.1938799023628235,-0.15700091421604156,2.9804461002349854,0.0,0.0,0,0,0,-1,0.008287270553410053,0.001799220684915781,0.1199135035276413,7.084608114382718e-06,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
5,0,0.21064579486846924,0.09274376183748245,1.9748780727386475,0.0,0.0,1,0,1,0,0.12454354763031006,0.004530741833150387,0.0009257046040147543,0.0011146721662953496,0.831352710723877,0.7068009376525879,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
5,1,0.09422075748443604,0.2889975905418396,-1.1419209241867065,0.0,0.0,2,1,1,0,0.009650981985032558,0.12012384831905365,0.00022516155149787664,0.032475199550390244,0.8268822431564331,0.7655813694000244,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
5,2,0.3962875008583069,0.3254551887512207,0.4709157347679138,0.0,0.0,1,0,1,0,0.1127568781375885,0.01492275670170784,0.0023203615564852953,0.010663359425961971,0.7825044393539429,0.7850149869918823,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
