step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,target_0_x,target_0_y
1,0,-0.22499999403953552,0.4399999976158142,-2.8214330673217773,0.0,0.0,1,0,1,0.007020846009254456,0.0030338719952851534,0.11994528025388718,0.02504807710647583,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,1,-0.07500000298023224,-0.2800000011920929,2.232351303100586,0.0,0.0,1,0,1,0.008300725370645523,0.001740726875141263,0.1199585422873497,0.000865795009303838,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,2,0.07500000298023224,-0.4000000059604645,-0.08149123936891556,0.0,0.0,0,0,0,0.0063508665189146996,0.003960459493100643,0.11968866735696793,0.024922868236899376,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,3,0.07500000298023224,0.20000000298023224,-1.1164239645004272,0.0,0.0,1,0,1,0.008534122258424759,0.0015883530722931027,0.11987752467393875,5.622938260785304e-05,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,4,0.07500000298023224,-0.2800000011920929,-0.3657784163951874,0.0,0.0,1,0,1,0.007816183380782604,0.0022237340454012156,0.11996007710695267,0.00906310137361288,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,5,-0.22499999403953552,-0.03999999910593033,-2.06577467918396,0.0,0.0,1,0,1,0.008335445076227188,0.0014006115961819887,0.12026393413543701,0.0069022211246192455,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,6,-0.07500000298023224,0.3199999928474426,2.3835391998291016,0.0,0.0,1,0,1,0.008543502539396286,0.0015035775722935796,0.11995290964841843,0.00023519083333667368,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,7,-0.07500000298023224,0.07999999821186066,-2.3718066215515137,0.0,0.0,1,0,1,0.008311629295349121,0.0016365316696465015,0.12005182355642319,0.0010146301938220859,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,8,-0.22499999403953552,-0.2800000011920929,3.110706090927124,0.0,0.0,0,0,0,0.008203182369470596,0.0019032577984035015,0.11989355087280273,0.0009869927307590842,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,9,-0.22499999403953552,0.07999999821186066,1.755592703819275,0.0,0.0,0,0,0,0.007775949779897928,0.0015356824733316898,0.12068835645914078,0.008240025490522385,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,0,-0.22939607501029968,0.43852290511131287,-2.8078110218048096,0.0,0.0,1,0,1,0.12174011021852493,0.0061732386238873005,0.0020866570994257927,0.023537026718258858,0.8307063579559326,0.7641243934631348,-1.2,0.0,0,0,1,0,0.5,0.2
2,1,-0.07790001481771469,-0.2762528657913208,2.2222743034362793,0.0,0.0,2,1,1,0.12555229663848877,0.002069934271275997,0.0023777573369443417,0.003818279365077615,0.8693639039993286,0.5225269794464111,-1.2,0.0,0,0,1,0,0.5,0.2
2,2,0.07845616340637207,-0.40022581815719604,-0.0265213493257761,0.0,0.0,0,0,0,0.006664739456027746,0.0032314532436430454,0.12010380625724792,0.024920174852013588,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,3,0.07709167897701263,0.19569437205791473,-1.1239261627197266,0.0,0.0,1,0,1,0.11882006376981735,0.01051347330212593,0.0006664628745056689,0.00143987569026649,0.7628500461578369,0.8012686967849731,-1.2,0.0,0,0,1,0,0.5,0.2
2,4,0.07867544144392014,-0.28135988116264343,-0.3268345892429352,0.0,0.0,1,0,1,0.11383489519357681,0.012560739181935787,0.0036043450236320496,0.009753964841365814,0.7841771245002747,0.8253191113471985,-1.2,0.0,0,0,1,1,0.5,0.2
2,5,-0.22710444033145905,-0.04395124316215515,-2.046483278274536,0.0,0.0,1,0,1,0.12272150814533234,0.004094946198165417,0.0031835564877837896,0.00871325470507145,0.8539714813232422,0.5968814492225647,-1.2,0.0,0,0,1,0,0.5,0.2
2,6,-0.07834596186876297,0.32319381833076477,2.3694918155670166,0.0,0.0,1,0,1,0.12322531640529633,0.002567211166024208,0.004207467660307884,0.0004018689796794206,0.7916908264160156,0.6994880437850952,-1.2,0.0,0,0,1,0,0.5,0.2
2,7,-0.07818402349948883,0.07687787711620331,-2.3519020080566406,0.0,0.0,1,0,1,0.12136922776699066,0.005745409522205591,0.0028853625990450382,0.0020543758291751146,0.7968091368675232,0.7583595514297485,-1.2,0.0,0,0,1,0,0.5,0.2
2,8,-0.22961409389972687,-0.2798379361629486,3.0963587760925293,0.0,0.0,0,0,0,0.008400759659707546,0.0016848136438056827,0.11991441994905472,0.0009195074671879411,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,9,-0.2258681207895279,0.08453930169343948,1.769778847694397,0.0,0.0,0,0,0,0.008125172927975655,0.0013589781010523438,0.1205158531665802,0.008119554258883,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
3,0,-0.23653866350650787,0.43561139702796936,-2.6354734897613525,0.0,0.0,1,0,1,0.12205389887094498,0.005187167786061764,0.0027589297387748957,0.02335820347070694,0.8258968591690063,0.7010084390640259,-1.2,0.0,0,0,1,0,0.5,0.2
3,1,-0.08296066522598267,-0.26899826526641846,2.090554714202881,0.0,0.0,2,1,1,0.0033103690948337317,0.12633316218852997,0.00035646086325868964,0.032014645636081696,0.8118577599525452,0.7473253011703491,-1.2,0.0,0,0,1,0,0.5,0.2
3,2,0.08753938972949982,-0.3999379277229309,0.09758265316486359,0.0,0.0,0,0,0,0.007660818286240101,0.0026280127931386232,0.11971116065979004,0.02486138418316841,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
3,3,0.08154739439487457,0.1869681477546692,-1.0338243246078491,0.0,0.0,1,0,1,0.12201900035142899,0.007428081706166267,0.0005529024638235569,0.0006545063806697726,0.7718609571456909,0.8060367703437805,-1.2,0.0,0,0,1,0,0.5,0.2
3,4,0.086638443171978,-0.2835390865802765,-0.17377513647079468,0.0,0.0,1,0,1,0.11534994840621948,0.011296969838440418,0.0033530688378959894,0.009829699993133545,0.7888296246528625,0.8274958729743958,-1.2,0.0,0,0,1,1,0.5,0.2
3,5,-0.23075459897518158,-0.05193295329809189,-1.9122058153152466,0.0,0.0,1,0,1,0.1216704249382019,0.0046789394691586494,0.0036506305914372206,0.005963467992842197,0.8596614599227905,0.5510309934616089,-1.2,0.0,0,0,1,0,0.5,0.2
3,6,-0.08351180702447891,0.3287988007068634,2.1942636966705322,0.0,0.0,1,0,1,0.12326649576425552,0.0025696076918393373,0.004163873847573996,0.001031221472658217,0.8126637935638428,0.687872588634491,-1.2,0.0,0,0,1,0,0.5,0.2
3,7,-0.08318080753087997,0.07122430205345154,-2.1738274097442627,0.0,0.0,1,0,1,0.12070177495479584,0.005922151729464531,0.0033760794904083014,0.0024619116447865963,0.7946987748146057,0.7811107039451599,-1.2,0.0,0,0,1,0,0.5,0.2
3,8,-0.24094657599925995,-0.27911579608917236,3.0535085201263428,0.0,0.0,0,0,0,0.008277944289147854,0.001794215990230441,0.11992783099412918,0.0002494320215191692,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
3,9,-0.22832250595092773,0.09569182246923447,1.8103805780410767,0.0,0.0,0,0,0,0.008107072673738003,0.0020493760239332914,0.11984354257583618,0.004723126534372568,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
