step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,target_0_x,target_0_y
1,0,-0.07339455187320709,0.32314446568489075,1.0339524745941162,0.0,0.0,1,0,1,0.00849645771086216,0.00151346146594733,0.11999008059501648,0.00017956644296646118,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,1,-0.07340686023235321,-0.4062756299972534,-1.2662757635116577,0.0,0.0,0,0,0,0.0058606285601854324,0.004433459136635065,0.11970590800046921,0.024860676378011703,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,2,-0.22505426406860352,-0.04000265523791313,0.11989609152078629,0.0,0.0,1,0,1,0.007388939615339041,0.002380605787038803,0.12023044377565384,0.006971890572458506,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,3,-0.2260444015264511,0.07994452863931656,-2.994344472885132,0.0,0.0,1,0,1,0.007699132896959782,0.0019022977212443948,0.12039855867624283,0.006795348133891821,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,4,-0.08067450672388077,-0.15850147604942322,2.5926883220672607,0.0,0.0,1,0,1,0.006638131570070982,0.0034904335625469685,0.11987143754959106,0.013401093892753124,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,5,-0.22619152069091797,-0.39908677339553833,2.9457736015319824,0.0,0.0,0,0,0,0.006802299991250038,0.0032842757645994425,0.11991342157125473,0.025084108114242554,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,6,-0.07830739766359329,-0.26138222217559814,1.6790921688079834,0.0,0.0,1,0,1,0.00820649228990078,0.0020732744596898556,0.11972023546695709,0.014637969434261322,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,7,0.07108353823423386,-0.1511467844247818,1.9662485122680664,0.0,0.0,0,0,0,0.008095008321106434,0.001902561285533011,0.12000241875648499,0.009797707200050354,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,8,0.07525111734867096,0.19996128976345062,2.604311466217041,0.0,0.0,1,0,1,0.008504332043230534,0.0015792201738804579,0.11991643160581589,5.701691043213941e-05,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,9,0.07630782574415207,-0.042950913310050964,-1.212680697441101,0.0,0.0,1,0,1,0.00799631979316473,0.0019896491430699825,0.12001402676105499,0.008160335011780262,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,0,-0.06843359768390656,0.3315386176109314,1.054811954498291,0.0,0.0,2,1,1,0.11908586323261261,0.0046069505624473095,0.0063071963377296925,0.0007924215751700103,0.7894757986068726,0.7578542828559875,-1.2,0.0,0,0,1,0,0.5,0.2
2,1,-0.07113051414489746,-0.4118473529815674,-1.0692726373672485,0.0,0.0,0,0,0,0.006138838827610016,0.003751426935195923,0.12010972946882248,0.02488565631210804,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,2,-0.21743156015872955,-0.039362095296382904,0.03505131974816322,0.0,0.0,1,0,1,0.12174385786056519,0.006284045521169901,0.001972093479707837,0.009973977692425251,0.8409150838851929,0.5553171634674072,-1.2,0.0,0,0,1,1,0.5,0.2
2,3,-0.2334674745798111,0.07935517281293869,-3.1222541332244873,0.0,0.0,1,0,1,0.12342821061611176,0.004727273713797331,0.0018445057794451714,0.009251062758266926,0.852898120880127,0.5474041700363159,-1.2,0.0,0,0,1,1,0.5,0.2
2,4,-0.0889698937535286,-0.15294672548770905,2.5275468826293945,0.0,0.0,1,0,1,0.12245392054319382,0.004747641738504171,0.0027984424959868193,0.019989198073744774,0.8156996965408325,0.7474832534790039,-1.2,0.0,0,0,1,1,0.5,0.2
2,5,-0.23459897935390472,-0.39754796028137207,2.9273481369018555,0.0,0.0,0,0,0,0.007384563330560923,0.0024092295207083225,0.12020620703697205,0.025105100125074387,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,6,-0.07934044301509857,-0.2549486458301544,1.8870034217834473,0.0,0.0,1,0,1,0.12572446465492249,0.0034968650434166193,0.0007786827627569437,0.02262437902390957,0.8199707269668579,0.6694371700286865,-1.2,0.0,0,0,1,1,0.5,0.2
2,7,0.06819242238998413,-0.14418259263038635,2.045748710632324,0.0,0.0,0,0,0,0.007650138810276985,0.00228405580855906,0.12006580084562302,0.013842304237186909,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,8,0.06712020188570023,0.2048935443162918,2.58524751663208,0.0,0.0,1,0,1,0.1224302276968956,0.004431969951838255,0.003137800842523575,0.0002887353184632957,0.785006046295166,0.7561686038970947,-1.2,0.0,0,0,1,0,0.5,0.2
2,9,0.07870198786258698,-0.04970140382647514,-1.1613292694091797,0.0,0.0,1,0,1,0.12119890004396439,0.0059653171338140965,0.002835773164406419,0.014778844080865383,0.767257809638977,0.8354713916778564,-1.2,0.0,0,0,1,1,0.5,0.2
3,0,-0.0636548325419426,0.339487761259079,0.9530296921730042,0.0,0.0,2,1,1,0.0005432067555375397,0.12824903428554535,0.0012077525025233626,0.029560748487710953,0.8045742511749268,0.7556657195091248,-1.2,0.0,0,0,1,0,0.5,0.2
3,1,-0.06728914380073547,-0.41735678911209106,-0.8431596755981445,0.0,0.0,0,0,0,0.006492888554930687,0.003532771021127701,0.11997433751821518,0.024894954636693,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
3,2,-0.20766696333885193,-0.039487842470407486,-0.06457292288541794,0.0,0.0,1,0,1,0.11981026083230972,0.008524498902261257,0.0016652331687510014,0.009948971681296825,0.8622019290924072,0.5290586352348328,-1.2,0.0,0,0,1,0,0.5,0.2
3,3,-0.24076928198337555,0.07979707419872284,2.9610300064086914,0.0,0.0,1,0,1,0.12260347604751587,0.004542263690382242,0.0028542624786496162,0.008741478435695171,0.8843439817428589,0.4748353064060211,-1.2,0.0,0,0,1,0,0.5,0.2
3,4,-0.09645923227071762,-0.14716868102550507,2.415018081665039,0.0,0.0,1,0,1,0.12282653898000717,0.004377084784209728,0.002796372165903449,0.019993247464299202,0.8206272125244141,0.7377781271934509,-1.2,0.0,0,0,1,1,0.5,0.2
3,5,-0.24460658431053162,-0.39499354362487793,2.8481132984161377,0.0,0.0,0,0,0,0.00700534600764513,0.002769390819594264,0.12022526562213898,0.0250701904296875,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
3,6,-0.0812770277261734,-0.24893061816692352,1.7701677083969116,0.0,0.0,1,0,1,0.12622910737991333,0.0031461643520742655,0.0006247265264391899,0.02171972207725048,0.8163527846336365,0.7016783952713013,-1.2,0.0,0,0,1,1,0.5,0.2
3,7,0.0643192008137703,-0.1379273235797882,2.230931043624878,0.0,0.0,0,0,0,0.006873066537082195,0.0027806165162473917,0.1203463226556778,0.023569025099277496,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
3,8,0.06080915033817291,0.20926785469055176,2.412174940109253,0.0,0.0,1,0,1,0.12250528484582901,0.004567448515444994,0.00292726862244308,0.0004985500709153712,0.7806336283683777,0.7959833145141602,-1.2,0.0,0,0,1,0,0.5,0.2
3,9,0.08194387704133987,-0.05574197322130203,-0.9578641653060913,0.0,0.0,1,0,1,0.12101581692695618,0.006120303645730019,0.002863882575184107,0.024469034746289253,0.765799880027771,0.8321295976638794,-1.2,0.0,0,0,1,1,0.5,0.2
4,0,-0.060109566897153854,0.3436305522918701,0.699872612953186,0.0,0.0,2,1,1,0.000280102452961728,0.12910157442092896,0.0006183253135532141,0.02998432144522667,0.7965078949928284,0.7539986371994019,-1.2,0.0,0,0,1,0,0.5,0.2
4,1,-0.06252206116914749,-0.4217015504837036,-0.6266213655471802,0.0,0.0,0,0,0,0.006463322322815657,0.003610854037106037,0.11992581188678741,0.02488875575363636,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
4,2,-0.19722816348075867,-0.04057922214269638,-0.13744747638702393,0.0,0.0,1,0,1,0.11873095482587814,0.0097063472494483,0.0015626979293301702,0.009071306325495243,0.8463497161865234,0.6167447566986084,-1.2,0.0,0,0,1,0,0.5,0.2
4,3,-0.24752894043922424,0.0818023607134819,2.7359447479248047,0.0,0.0,2,1,1,0.12076713144779205,0.005185975227504969,0.0040468922816216946,0.006882834248244762,0.9004296064376831,0.44451904296875,-1.2,0.0,0,0,1,0,0.5,0.2
