step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y
1,0,0.17907163500785828,-0.13885673880577087,-0.21756413578987122,0.0,0.0,0,0,0,-1,0.00745381647720933,0.0023136772215366364,0.12023250013589859,0.010411323979496956,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,1,0.6251695156097412,-0.49991241097450256,0.1413653939962387,0.0,0.0,0,0,0,-1,0.00851079449057579,0.0014755219453945756,0.12001366913318634,0.0015487191267311573,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,2,0.9256744980812073,-0.7342161536216736,1.4178907871246338,0.0,0.0,0,0,0,-1,0.007674520369619131,0.0019287762697786093,0.1203967034816742,0.0014117417158558965,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,3,0.46834060549736023,0.940925121307373,3.0750768184661865,0.0,0.0,0,0,0,-1,0.006673652678728104,0.0036264231894165277,0.11969991773366928,0.024809671565890312,0.0,0.034377336502075195,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,4,0.6199485063552856,-0.14014886319637299,-2.8095781803131104,0.0,0.0,0,0,0,-1,0.008494002744555473,0.0016311844810843468,0.11987481266260147,0.0001926487748278305,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,5,0.9269641041755676,0.09817438572645187,-1.082776665687561,0.0,0.0,0,0,0,-1,0.008482648991048336,0.001628328114748001,0.11988901346921921,0.00019635171338450164,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,6,0.6260905265808105,0.33812442421913147,-1.0969312191009521,0.0,0.0,0,0,0,-1,0.008489136584103107,0.0016108880518004298,0.11989996582269669,0.00020131260680500418,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,7,0.17907629907131195,-0.015957839787006378,0.7482471466064453,0.0,0.0,0,0,0,-1,0.008149989880621433,0.0020424993708729744,0.11980749666690826,0.009077943861484528,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,8,0.3229694068431854,-0.7358721494674683,2.1956756114959717,0.0,0.0,0,0,0,-1,0.006583833135664463,0.0029372929129749537,0.12047886103391647,0.010923875495791435,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,9,0.48103848099708557,-0.7424767017364502,-0.16839025914669037,0.0,0.0,0,0,0,-1,0.008297762833535671,0.0018625027732923627,0.11983973532915115,0.0015194314764812589,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
