step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y
1,0,-0.07511007785797119,-0.03403177112340927,1.8769582509994507,0.0,0.0,1,0,1,0,0.008456863462924957,0.0016285203164443374,0.11991461366415024,0.000271805067313835,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,1,0.3719360828399658,0.44321706891059875,2.4149575233459473,0.0,0.0,1,0,1,0,0.009936515241861343,0.005184030160307884,0.11487944424152374,0.024745192378759384,0.0,0.14300906658172607,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,2,0.07664268463850021,0.20148737728595734,1.6180765628814697,0.0,0.0,1,0,1,0,0.007671579718589783,0.002021046355366707,0.12030736356973648,0.009055937640368938,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
1,3,0.07283515483140945,0.31986135244369507,-3.100137233734131,0.0,0.0,1,0,1,0,0.007122581358999014,0.002670745365321636,0.12020666897296906,0.009318982250988483,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
1,4,0.3745821714401245,-0.28303706645965576,-1.74419105052948,0.0,0.0,1,0,1,0,0.008521268144249916,0.0015862522413954139,0.11989247053861618,0.00022251949121709913,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,5,0.24300245940685272,0.08579033613204956,0.29697948694229126,0.0,0.0,1,0,1,0,0.01934003084897995,0.0008278059540316463,0.10983216017484665,0.004166213795542717,0.0,0.26815980672836304,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,6,0.06738291680812836,-0.4038853049278259,-2.698066234588623,0.0,0.0,1,0,1,0,0.007164032198488712,0.0027732059825211763,0.12006276100873947,0.024973224848508835,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,7,0.22409740090370178,-0.1591641753911972,1.8818796873092651,0.0,0.0,0,0,0,-1,0.00849241204559803,0.001559416763484478,0.11994815617799759,0.00023647904163226485,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,0,-0.07873617857694626,-0.024477258324623108,1.9441181421279907,0.0,0.0,2,1,1,0,0.12599867582321167,0.002382868668064475,0.0016184558626264334,0.0020414863247424364,0.8842343091964722,0.41709092259407043,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,1,0.36764761805534363,0.44655102491378784,2.524341106414795,0.0,0.0,1,0,1,0,0.12258230149745941,0.004255365114659071,0.0031623297836631536,0.024117087945342064,0.765837550163269,0.8219277858734131,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,2,0.07662457227706909,0.202205091714859,1.4452381134033203,0.0,0.0,1,0,1,0,0.12241119891405106,0.004128983244299889,0.003459818195551634,0.009504798799753189,0.7822867035865784,0.8056265115737915,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
2,3,0.06608229130506516,0.3200278580188751,3.0437846183776855,0.0,0.0,2,1,1,0,0.12218364328145981,0.005196820944547653,0.002619523089379072,0.010659727267920971,0.83765709400177,0.641581654548645,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
2,4,0.37305107712745667,-0.2929179072380066,-1.7251402139663696,0.0,0.0,1,0,1,0,0.1216982752084732,0.0036731709260493517,0.004628549795597792,0.0004313579120207578,0.7691421508789062,0.7778990268707275,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,5,0.25426772236824036,0.08917266130447388,0.2752124071121216,0.0,0.0,1,0,1,0,0.12061065435409546,0.005890752654522657,0.0034985700622200966,0.0010771837551146746,0.7556478977203369,0.8096482157707214,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,6,0.06402231007814407,-0.40524905920028687,-2.9529926776885986,0.0,0.0,1,0,1,0,0.12435209006071091,0.0030145987402647734,0.0026333045680075884,0.024621421471238136,0.8309884071350098,0.7291951179504395,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,7,0.22050417959690094,-0.15021802484989166,1.937363862991333,0.0,0.0,0,0,0,-1,0.008625603280961514,0.0015532944817095995,0.11982109397649765,0.00022865177015773952,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,0,-0.08031871169805527,-0.019766569137573242,1.6987360715866089,0.0,0.0,2,1,1,0,0.009603919461369514,0.1201467514038086,0.00024931298685260117,0.02928515337407589,0.8232607841491699,0.6852825880050659,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,1,0.3649922311306,0.44809842109680176,2.8462624549865723,0.0,0.0,1,0,1,0,0.12252692878246307,0.00431852787733078,0.003154533915221691,0.023896295577287674,0.7608993649482727,0.8234701156616211,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,2,0.07698646187782288,0.20281969010829926,1.072903037071228,0.0,0.0,1,0,1,0,0.12097113579511642,0.006632131524384022,0.00239671696908772,0.009296303614974022,0.7801300883293152,0.8135035037994385,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
3,3,0.06281960010528564,0.3206418454647064,2.705989360809326,0.0,0.0,2,1,1,0,0.0037698894739151,0.12562069296836853,0.000609411858022213,0.030667303130030632,0.8344188928604126,0.739052414894104,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,0.675,0.2
3,4,0.37262994050979614,-0.2971557378768921,-1.4258047342300415,0.0,0.0,1,0,1,0,0.12150491774082184,0.0038164202123880386,0.004678652621805668,0.0004940366488881409,0.7752311825752258,0.8061380982398987,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,5,0.2657827138900757,0.09233289957046509,0.26552021503448486,0.0,0.0,1,0,1,0,0.11920230835676193,0.006964777130633593,0.003832909744232893,0.0005973580409772694,0.7570708394050598,0.8085802793502808,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,6,0.06165138632059097,-0.40535977482795715,2.963552713394165,0.0,0.0,2,1,1,0,0.1245371624827385,0.002608531853184104,0.0028543074149638414,0.024721872061491013,0.8275015950202942,0.7021001577377319,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,7,0.21636278927326202,-0.1390572488307953,1.9276906251907349,0.0,0.0,0,0,0,-1,0.008379840292036533,0.0016962878871709108,0.11992385983467102,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,0,-0.08100025355815887,-0.009698227979242802,1.636470079421997,0.0,0.0,2,1,1,0,0.007217424921691418,0.12259595841169357,0.00018661953799892217,0.030374737456440926,0.8263237476348877,0.7356178760528564,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,1,0.36538219451904297,0.44829756021499634,-3.1329851150512695,0.0,0.0,1,0,1,0,0.12274859845638275,0.004330821335315704,0.0029205812606960535,0.024083301424980164,0.7729263305664062,0.8244994878768921,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,2,0.07413443922996521,0.1987893134355545,0.9165017604827881,0.0,0.0,1,0,1,0,0.11837533116340637,0.009106461890041828,0.0025181984528899193,0.009098703972995281,0.7771255970001221,0.8110631704330444,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,3,0.0609595887362957,0.32152456045150757,2.8733532428741455,0.0,0.0,2,1,1,0,0.0022329657804220915,0.12722298502922058,0.0005440597306005657,0.03034072369337082,0.8260027766227722,0.746543824672699,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,4,0.373322069644928,-0.29919949173927307,-0.9967668056488037,0.0,0.0,1,0,1,0,0.12012161314487457,0.005134456790983677,0.004743924830108881,0.00040646790876053274,0.7625645399093628,0.8126630783081055,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
4,5,0.277363121509552,0.095474012196064,0.2663860321044922,0.0,0.0,1,0,1,0,0.11877184361219406,0.0073562441393733025,0.003871908178552985,0.0005689695244655013,0.756912112236023,0.8085677027702332,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
