step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,target_0_x,target_0_y
1,0,-0.22457115352153778,0.442483514547348,1.395721435546875,0.0,0.0,1,0,1,0.005905710160732269,0.004202401265501976,0.11989188939332962,0.024958878755569458,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,1,0.07207012921571732,0.20804835855960846,1.7649670839309692,0.0,0.0,1,0,1,0.006628435105085373,0.0034111717250198126,0.11996039003133774,0.006912482902407646,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,2,-0.22860993444919586,-0.3989177942276001,2.903822183609009,0.0,0.0,0,0,0,0.007105757016688585,0.0030489074997603893,0.11984532326459885,0.025096537545323372,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,3,-0.2223600596189499,-0.28445059061050415,-0.9912408590316772,0.0,0.0,1,0,1,0.007919814437627792,0.0020678865257650614,0.1200122982263565,0.008568445220589638,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,4,0.08080408722162247,0.07789821177721024,-1.0364259481430054,0.0,0.0,1,0,1,0.006786405108869076,0.0030459666159003973,0.12016762048006058,0.00845955591648817,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,5,-0.07503299415111542,-0.2799815535545349,-1.127539873123169,0.0,0.0,1,0,1,0.008331588469445705,0.001629952690564096,0.12003844976425171,0.0009344704449176788,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,6,-0.08865106105804443,0.31855371594429016,-3.0070390701293945,0.0,0.0,1,0,1,0.008512774482369423,0.0016886105295270681,0.11979861557483673,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,7,0.07685741782188416,-0.2939406931400299,-1.395521879196167,0.0,0.0,1,0,1,0.008616426028311253,0.001572808250784874,0.11981076002120972,0.007838747464120388,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,8,-0.07129327952861786,0.0857272520661354,0.8723986744880676,0.0,0.0,0,0,0,0.008375248871743679,0.001648047473281622,0.119976706802845,0.0007663726573809981,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,9,0.07634357362985611,-0.4095301032066345,-1.2827789783477783,0.0,0.0,0,0,0,0.006339706480503082,0.004051996860653162,0.11960829049348831,0.024833397939801216,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,0,-0.22307254374027252,0.4490756690502167,1.308398962020874,0.0,0.0,1,0,1,0.11937958002090454,0.007948718965053558,0.0026716841384768486,0.023567788302898407,0.8144292831420898,0.8121553659439087,-1.2,0.0,0,0,1,0,0.5,0.2
2,1,0.07060021162033081,0.2185705453157425,1.695891261100769,0.0,0.0,1,0,1,0.11658925563097,0.011448300443589687,0.001962449634447694,0.005670136772096157,0.7692227363586426,0.8048927187919617,-1.2,0.0,0,0,1,0,0.5,0.2
2,2,-0.23347492516040802,-0.39716288447380066,2.7875218391418457,0.0,0.0,0,0,0,0.007223119959235191,0.0025482026394456625,0.12022867053747177,0.025000998750329018,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,3,-0.2181755006313324,-0.2902544140815735,-0.8618386387825012,0.0,0.0,1,0,1,0.12100949883460999,0.005147155374288559,0.003843337297439575,0.012895280495285988,0.8389423489570618,0.7250234484672546,-1.2,0.0,0,0,1,1,0.5,0.2
2,4,0.08390086144208908,0.07213624566793442,-1.036858081817627,0.0,0.0,1,0,1,0.11812974512577057,0.009048671461641788,0.0028215772472321987,0.007123495452105999,0.7590104341506958,0.8120594024658203,-1.2,0.0,0,0,1,0,0.5,0.2
2,5,-0.07112137973308563,-0.28845086693763733,-1.1529457569122314,0.0,0.0,1,0,1,0.12005689740180969,0.004939533770084381,0.005003571510314941,0.00272081489674747,0.8174243569374084,0.6528292894363403,-1.2,0.0,0,0,1,0,0.5,0.2
2,6,-0.09980911761522293,0.3168960511684418,-3.014692544937134,0.0,0.0,2,1,1,0.12374231964349747,0.001574318972416222,0.004683359060436487,0.0006482813041657209,0.8487880229949951,0.555781364440918,-1.2,0.0,0,0,1,0,0.5,0.2
2,7,0.07838933169841766,-0.3008749186992645,-1.2199920415878296,0.0,0.0,1,0,1,0.12159377336502075,0.004223995842039585,0.004182230215519667,0.012371102347970009,0.7959889769554138,0.8083691596984863,-1.2,0.0,0,0,1,1,0.5,0.2
2,8,-0.06455086916685104,0.09339053928852081,0.8686679005622864,0.0,0.0,0,0,0,0.008544661104679108,0.0016602471005171537,0.11979508399963379,0.0008039037929847836,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,9,0.07878206670284271,-0.4155600070953369,-1.06405508518219,0.0,0.0,0,0,0,0.006274579092860222,0.003648533718660474,0.12007687985897064,0.02490769699215889,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
3,0,-0.22078421711921692,0.4557110071182251,1.1273717880249023,0.0,0.0,1,0,1,0.11928489804267883,0.007699786685407162,0.0030153056140989065,0.023459022864699364,0.8022119402885437,0.8076910972595215,-1.2,0.0,0,0,1,0,0.5,0.2
3,1,0.06981347501277924,0.2278214991092682,1.5802334547042847,0.0,0.0,1,0,1,0.11932525783777237,0.008544172160327435,0.002130569890141487,0.002702409867197275,0.7658640146255493,0.8127369284629822,-1.2,0.0,0,0,1,0,0.5,0.2
3,2,-0.24175558984279633,-0.39406925439834595,2.753537178039551,0.0,0.0,0,0,0,0.007258172612637281,0.002517564920708537,0.12022425979375839,0.025026721879839897,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
3,3,-0.2132399082183838,-0.29507729411125183,-0.6597268581390381,0.0,0.0,1,0,1,0.1202150359749794,0.005707977339625359,0.004076988436281681,0.01693842187523842,0.8433704972267151,0.7605096101760864,-1.2,0.0,0,0,1,1,0.5,0.2
3,4,0.0893893614411354,0.06348998099565506,-0.9664547443389893,0.0,0.0,1,0,1,0.12039032578468323,0.00663171149790287,0.002977966796606779,0.004089404363185167,0.7818368673324585,0.8081510066986084,-1.2,0.0,0,0,1,0,0.5,0.2
3,5,-0.06759358942508698,-0.2956847846508026,-1.0058213472366333,0.0,0.0,1,0,1,0.11989402770996094,0.004776950925588608,0.005329029634594917,0.0035553425550460815,0.8334534168243408,0.6770995855331421,-1.2,0.0,0,0,1,0,0.5,0.2
3,6,-0.10773268342018127,0.3154990077018738,-2.8382771015167236,0.0,0.0,2,1,1,0.00459804804995656,0.12470709532499313,0.0006948452210053802,0.0312744565308094,0.8198686838150024,0.7561867237091064,-1.2,0.0,0,0,1,0,0.5,0.2
3,7,0.08125216513872147,-0.30671223998069763,-1.0042542219161987,0.0,0.0,1,0,1,0.12132090330123901,0.004974239505827427,0.00370484939776361,0.01291164755821228,0.7893966436386108,0.8207224607467651,-1.2,0.0,0,0,1,1,0.5,0.2
