step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,target_0_x,target_0_y
1,0,-0.07505589723587036,0.43998104333877563,2.7939610481262207,0.0,0.0,0,0,0,0.005856373813003302,0.0049326978623867035,0.11921092122793198,0.024780085310339928,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,1,-0.22518332302570343,0.3192293345928192,-1.5543335676193237,0.0,0.0,0,0,0,0.006806067656725645,0.0033422510605305433,0.11985167115926743,0.017957180738449097,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,2,-0.22133134305477142,-0.027091683819890022,1.3829081058502197,0.0,0.0,0,0,0,0.008357791230082512,0.0017920623067766428,0.11985014379024506,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,3,-0.0701344683766365,-0.4121980667114258,-1.2635293006896973,0.0,0.0,0,0,0,0.006207223050296307,0.004148944281041622,0.11964382231235504,0.024891093373298645,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,4,-0.22874492406845093,0.43822750449180603,-2.2109134197235107,0.0,0.0,0,0,0,0.006956879049539566,0.003024971578270197,0.12001815438270569,0.02502482570707798,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,5,-0.22672270238399506,0.19736768305301666,-2.458834648132324,0.0,0.0,0,0,0,0.008171593770384789,0.0016261975979432464,0.1202022060751915,0.008127035573124886,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,6,0.07387814670801163,-0.28091925382614136,-2.1541366577148438,0.0,0.0,0,0,0,0.008391590788960457,0.001558793126605451,0.1200496107339859,0.001145280315540731,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
1,7,-0.07616638392210007,0.19923268258571625,0.13313989341259003,0.0,0.0,0,0,0,0.007437841966748238,0.0022760918363928795,0.12028606981039047,0.00999598391354084,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,8,-0.06705624610185623,0.3080400824546814,-1.0427100658416748,0.0,0.0,0,0,0,0.007607656065374613,0.002756885951384902,0.1196354478597641,0.016238339245319366,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
1,9,-0.06645722687244415,-0.26751771569252014,0.8838613629341125,0.0,0.0,0,0,0,0.007422696799039841,0.0029418233316391706,0.11963547766208649,0.005265218671411276,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,0,-0.08138042688369751,0.4420509338378906,2.868941307067871,0.0,0.0,0,0,0,0.0060030072927474976,0.004376388620585203,0.11962059140205383,0.02490980364382267,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,1,-0.22531260550022125,0.3106013834476471,-1.6174182891845703,0.0,0.0,0,0,0,0.007222925778478384,0.0027195634320378304,0.12005750089883804,0.01806054078042507,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,2,-0.21918517351150513,-0.015746505931019783,1.3730798959732056,0.0,0.0,0,0,0,0.008260931819677353,0.0017923770938068628,0.1199466809630394,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,3,-0.06772369146347046,-0.4188744127750397,-1.104387879371643,0.0,0.0,0,0,0,0.006336611695587635,0.0035964688286185265,0.12006691098213196,0.02492656745016575,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,4,-0.23365890979766846,0.43041276931762695,-2.103909730911255,0.0,0.0,0,0,0,0.007542946841567755,0.002787893172353506,0.11966915428638458,0.025051044300198555,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,5,-0.23431968688964844,0.1914360225200653,-2.4574592113494873,0.0,0.0,0,0,0,0.008388328365981579,0.0013047299580648541,0.12030693888664246,0.0077545978128910065,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,6,0.06934913992881775,-0.2887473404407501,-2.068253755569458,0.0,0.0,0,0,0,0.008431235328316689,0.0015634354203939438,0.12000532448291779,0.0017429993022233248,0.0,0.0,-1.2,0.0,0,0,1,0,0.5,0.2
2,7,-0.06889445334672928,0.1994829624891281,-0.028992993757128716,0.0,0.0,0,0,0,0.007022036239504814,0.0027198174502700567,0.1202581375837326,0.013748453930020332,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
2,8,-0.06162033975124359,0.29970812797546387,-0.9431530237197876,0.0,0.0,0,0,0,0.007512459997087717,0.0025304059963673353,0.11995713412761688,0.017469223588705063,0.0,0.0,-1.2,0.0,0,0,1,1,0.5,0.2
