step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y
1,18,0.32499998807907104,-0.8600000143051147,0.32284414768218994,0.0,0.0,0,0,0,-1,0.008522181771695614,0.0015675426693633199,0.11991026997566223,0.006669454276561737,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,19,0.925000011920929,0.2199999988079071,2.074347972869873,0.0,0.0,0,0,0,-1,0.008667398244142532,0.0013978531351312995,0.11993474513292313,0.008483764715492725,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,20,0.4749999940395355,-0.25999999046325684,2.0169742107391357,0.0,0.0,0,0,0,-1,0.007863025180995464,0.0019699542317539454,0.12016700953245163,0.0016524108359590173,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,21,0.17499999701976776,0.8199999928474426,-2.622629404067993,0.0,0.0,0,0,0,-1,0.008604898117482662,0.0014517746167257428,0.11994332820177078,0.00047146648284979165,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,22,0.925000011920929,0.8199999928474426,-2.4982144832611084,0.0,0.0,0,0,0,-1,0.007788726128637791,0.0019420566968619823,0.12026921659708023,0.009658417664468288,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,23,0.32499998807907104,0.3400000035762787,0.6510543823242188,0.0,0.0,0,0,0,-1,0.008476308546960354,0.0015338549856096506,0.11998983472585678,0.0002673521521501243,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,24,0.4749999940395355,0.46000000834465027,1.2202121019363403,0.0,0.0,0,0,0,-1,0.008424927480518818,0.0016011395491659641,0.11997392773628235,0.00031269490136764944,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,25,0.925000011920929,0.699999988079071,1.667637825012207,0.0,0.0,0,0,0,-1,0.008173963986337185,0.0016065140953287482,0.12021952122449875,0.010066474787890911,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,26,0.925000011920929,-0.25999999046325684,-2.6575100421905518,0.0,0.0,0,0,0,-1,0.008480510674417019,0.0015437237452715635,0.11997576802968979,0.0002817925706040114,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,27,0.7749999761581421,-0.8600000143051147,-1.337904691696167,0.0,0.0,0,0,0,-1,0.008699786849319935,0.0013577955542132258,0.11994241178035736,0.00750750582665205,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,28,0.925000011920929,0.3400000035762787,-0.12143164873123169,0.0,0.0,0,0,0,-1,0.00827774964272976,0.0017073038034141064,0.12001494318246841,0.008582131937146187,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,29,0.7749999761581421,-0.5,-0.44034484028816223,0.0,0.0,0,0,0,-1,0.006883707828819752,0.002611917909234762,0.12050437182188034,0.010908141732215881,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
