step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y
1,0,0.7749999761581421,0.699999988079071,-2.86690092086792,0.0,0.0,0,0,0,-1,0.007860402576625347,0.0018382241250947118,0.12030136585235596,0.001640041940845549,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,1,0.625,0.8199999928474426,1.7478992938995361,0.0,0.0,0,0,0,-1,0.008515325374901295,0.0014626258052885532,0.12002205103635788,0.0005318900803104043,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,2,0.4749999940395355,-0.5,1.571616768836975,0.0,0.0,0,0,0,-1,0.008232091553509235,0.0016981513472273946,0.12006974965333939,0.012027098797261715,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,3,0.925000011920929,-0.6200000047683716,-1.5544267892837524,0.0,0.0,0,0,0,-1,0.008616219274699688,0.0014032277977094054,0.11998054385185242,0.01034359447658062,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,4,0.7749999761581421,-0.3799999952316284,-0.4511920213699341,0.0,0.0,0,0,0,-1,0.008323744870722294,0.001708257826976478,0.1199679970741272,0.012149183079600334,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,5,0.32499998807907104,-0.019999999552965164,0.23577746748924255,0.0,0.0,0,0,0,-1,0.008197268471121788,0.00196432345546782,0.1198384016752243,0.010730400681495667,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,6,0.32499998807907104,-0.25999999046325684,1.0230680704116821,0.0,0.0,0,0,0,-1,0.007800103165209293,0.0025956090539693832,0.11960428953170776,0.0184410959482193,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,7,0.17499999701976776,0.5799999833106995,0.8595514893531799,0.0,0.0,0,0,0,-1,0.00832814909517765,0.0018497692653909326,0.11982207745313644,0.01084986049681902,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,8,0.625,-0.019999999552965164,2.010671854019165,0.0,0.0,0,0,0,-1,0.0068574328906834126,0.002587629249319434,0.12055493891239166,0.010754614137113094,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,9,0.625,0.2199999988079071,1.6554195880889893,0.0,0.0,0,0,0,-1,0.008576512336730957,0.0012368230381980538,0.12018664926290512,0.0017689490923658013,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
