step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,target_0_x,target_0_y
1,0,-0.2356007695198059,0.3315098285675049,2.4117233753204346,0.0,0.0,0,0,0,0.008532049134373665,0.0016858888557180762,0.11978206038475037,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
1,1,-0.23019468784332275,-0.26685428619384766,2.1110551357269287,0.0,0.0,0,0,0,0.0071511720307171345,0.0029267033096402884,0.11992212384939194,0.004786577075719833,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
1,2,-0.0807400643825531,-0.1482183337211609,2.0904860496520996,0.0,0.0,0,0,0,0.008354121819138527,0.0018407757161185145,0.11980510503053665,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
1,3,-0.0859764814376831,0.08359241485595703,2.8904294967651367,0.0,0.0,0,0,0,0.008481256663799286,0.001689255703240633,0.11982948333024979,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
1,4,0.07945436984300613,-0.3887411952018738,1.430953025817871,0.0,0.0,0,0,0,0.006745962426066399,0.0038774425629526377,0.11937659233808517,0.025112982839345932,0.0,0.0,-1.2,0.0,0,0,1,1,3.5,3.2
1,5,0.06145641952753067,0.3308531641960144,2.294328451156616,0.0,0.0,0,0,0,0.008538251742720604,0.001707608113065362,0.1197541356086731,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
1,6,-0.22307969629764557,-0.41592615842819214,-1.3409833908081055,0.0,0.0,0,0,0,0.006253372877836227,0.004415198229253292,0.11933141201734543,0.02488509938120842,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
1,7,0.08769215643405914,-0.27684545516967773,0.26449185609817505,0.0,0.0,0,0,0,0.007485546171665192,0.002984992228448391,0.11952945590019226,0.00668064970523119,0.0,0.0,-1.2,0.0,0,0,1,1,3.5,3.2
2,0,-0.2440759539604187,0.33911266922950745,2.432661294937134,0.0,0.0,0,0,0,0.008418346755206585,0.001753566786646843,0.11982808262109756,5.329832492861897e-05,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
2,1,-0.23586991429328918,-0.25737035274505615,2.0806756019592285,0.0,0.0,0,0,0,0.0076417624950408936,0.0024080912116914988,0.11995013058185577,0.00015280410298146307,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
2,2,-0.08664112538099289,-0.13832201063632965,2.0992255210876465,0.0,0.0,0,0,0,0.00824270024895668,0.001836914918385446,0.11992038041353226,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
2,3,-0.09671547263860703,0.08587928861379623,2.9286067485809326,0.0,0.0,0,0,0,0.008513238281011581,0.0017113659996539354,0.11977538466453552,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
2,4,0.08042293787002563,-0.37816357612609863,1.5073267221450806,0.0,0.0,0,0,0,0.007591944187879562,0.002696606796234846,0.11971145123243332,0.024978775531053543,0.0,0.0,-1.2,0.0,0,0,1,1,3.5,3.2
2,5,0.05372273176908493,0.3395555913448334,2.3161821365356445,0.0,0.0,0,0,0,0.008488752879202366,0.0017987914616242051,0.11971244215965271,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
2,6,-0.22094325721263885,-0.42302775382995605,-1.1586074829101562,0.0,0.0,0,0,0,0.0062846108339726925,0.0037680661771446466,0.11994731426239014,0.024906646460294724,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
2,7,0.09799014776945114,-0.2741018235683441,0.2945173680782318,0.0,0.0,0,0,0,0.007495442871004343,0.0025434372946619987,0.11996111273765564,0.008902879431843758,0.0,0.0,-1.2,0.0,0,0,1,1,3.5,3.2
3,0,-0.25272804498672485,0.3462296426296234,2.4813077449798584,0.0,0.0,0,0,0,0.008481754921376705,0.0017370341811329126,0.11978120356798172,0.0004727505147457123,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
3,1,-0.2413116842508316,-0.24718958139419556,2.0439209938049316,0.0,0.0,0,0,0,0.008149352855980396,0.0019223102135583758,0.11992833018302917,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
3,2,-0.09237636625766754,-0.1282413899898529,2.066037654876709,0.0,0.0,0,0,0,0.008184232749044895,0.0018246081890538335,0.11999115347862244,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
3,3,-0.10813776403665543,0.08845638483762741,2.901959180831909,0.0,0.0,0,0,0,0.00828597228974104,0.0017765931552276015,0.11993743479251862,0.0,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
3,4,0.08095308393239975,-0.3664836585521698,1.5387994050979614,0.0,0.0,0,0,0,0.007817522622644901,0.0024479327257722616,0.11973454803228378,0.0246551726013422,0.0,0.0,-1.2,0.0,0,0,1,1,3.5,3.2
3,5,0.04556086286902428,0.34821194410324097,2.334526300430298,0.0,0.0,0,0,0,0.008589981123805046,0.0017937932861968875,0.11961622536182404,0.0004152402398176491,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
3,6,-0.21774061024188995,-0.42869940400123596,-0.9501363635063171,0.0,0.0,0,0,0,0.006170930340886116,0.00401274673640728,0.11981631815433502,0.024832556024193764,0.0,0.0,-1.2,0.0,0,0,1,0,3.5,3.2
3,7,0.10797905176877975,-0.27073585987091064,0.36672818660736084,0.0,0.0,0,0,0,0.007566039450466633,0.0027158416341990232,0.11971811205148697,0.013120965100824833,0.0,0.0,-1.2,0.0,0,0,1,1,3.5,3.2
