step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y
1,0,0.22434388101100922,-0.03886696323752403,2.187411308288574,0.0,0.0,1,0,1,0,0.008481230586767197,0.0015673406887799501,0.11995142698287964,0.0002370965521549806,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,1,0.37037986516952515,0.43849092721939087,-2.7464334964752197,0.0,0.0,1,0,1,0,0.017396820709109306,0.004000137560069561,0.10860303789377213,0.024731453508138657,0.0,0.2962982654571533,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,2,0.22742508351802826,-0.27599722146987915,0.7144944667816162,0.0,0.0,1,0,1,0,0.007628906983882189,0.0024272443260997534,0.11994384229183197,0.0013801801251247525,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,3,0.07090657949447632,-0.28051093220710754,-2.8540329933166504,0.0,0.0,1,0,1,0,0.008072598837316036,0.002081348327919841,0.11984604597091675,0.0013428409583866596,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,4,0.3745827078819275,-0.3987725079059601,1.7536481618881226,0.0,0.0,1,0,1,0,0.008188245818018913,0.001996847568079829,0.1198149099946022,0.024850953370332718,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,5,0.07815373688936234,0.19606782495975494,-0.9351314306259155,0.0,0.0,1,0,1,0,0.00847774650901556,0.0016194307245314121,0.11990281939506531,0.0002475795045029372,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,6,0.217382550239563,0.4436742663383484,2.5268070697784424,0.0,0.0,1,0,1,0,0.006359357852488756,0.0040785991586744785,0.11956203728914261,0.024776631966233253,0.0,0.02551180124282837,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
1,7,-0.08832328021526337,-0.15057824552059174,2.400141716003418,0.0,0.0,0,0,0,-1,0.008294198662042618,0.0018635543528944254,0.11984223872423172,9.954959386959672e-05,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,0,0.21848998963832855,-0.031111059710383415,2.2098817825317383,0.0,0.0,1,0,1,0,0.12584362924098969,0.0028080190531909466,0.0013483472866937518,0.0024162165354937315,0.7976758480072021,0.776555597782135,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,1,0.3623819649219513,0.4346466064453125,-2.6581671237945557,0.0,0.0,1,0,1,0,0.1189446672797203,0.008573265746235847,0.002482053590938449,0.023195795714855194,0.7401436567306519,0.8468336462974548,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,2,0.2331060916185379,-0.271701842546463,0.6666135191917419,0.0,0.0,1,0,1,0,0.11798729002475739,0.010114297270774841,0.001898412243463099,0.0008923935820348561,0.7936704158782959,0.7479922771453857,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,3,0.06119024008512497,-0.28370511531829834,-2.82558536529541,0.0,0.0,2,1,1,0,0.12425071746110916,0.001470998045988381,0.004278283566236496,0.001115794526413083,0.874904215335846,0.44303545355796814,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,4,0.37237751483917236,-0.38951072096824646,1.8193409442901611,0.0,0.0,1,0,1,0,0.12250494211912155,0.006937043741345406,0.0005580055876635015,0.024397512897849083,0.7863351702690125,0.8033053874969482,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,5,0.0841367170214653,0.18785417079925537,-0.9532876014709473,0.0,0.0,2,1,1,0,0.12010277062654495,0.009108410216867924,0.0007888100226409733,0.0018350814934819937,0.8016852140426636,0.6865295767784119,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,6,0.21178026497364044,0.4476378858089447,2.555806875228882,0.0,0.0,1,0,1,0,0.12365101277828217,0.0035599470138549805,0.0027890352066606283,0.02400132454931736,0.7991421222686768,0.814557671546936,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
2,7,-0.09683326631784439,-0.14319977164268494,2.4462890625,0.0,0.0,0,0,0,-1,0.008205873891711235,0.0018367776647210121,0.1199573427438736,4.979670120519586e-05,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,0,0.21585460007190704,-0.027111822739243507,1.9467387199401855,0.0,0.0,1,0,1,0,0.12560167908668518,0.0028971440624445677,0.001501169870607555,0.00130526814609766,0.8081925511360168,0.7802676558494568,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,1,0.3583894371986389,0.43212637305259705,-2.3746705055236816,0.0,0.0,1,0,1,0,0.11979200690984726,0.007331901229918003,0.0028760796412825584,0.02300645038485527,0.7331256866455078,0.8420819640159607,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,2,0.24178548157215118,-0.2645975649356842,0.6948416829109192,0.0,0.0,1,0,1,0,0.1192573681473732,0.006905770860612392,0.0038368531968444586,0.0007644732249900699,0.8013302087783813,0.7282372117042542,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,3,0.05731027573347092,-0.2847728133201599,-3.1250686645507812,0.0,0.0,2,1,1,0,0.006440045777708292,0.12275537848472595,0.0008045696304179728,0.030173571780323982,0.834625780582428,0.666576087474823,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
3,4,0.37020212411880493,-0.38006725907325745,1.7303779125213623,0.0,0.0,1,0,1,0,0.12317725270986557,0.005911690648645163,0.000911039300262928,0.0241264458745718,0.8057280778884888,0.7845743894577026,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,0.675,0.2
