step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,-0.62530893,0.4468117,1.687017,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.6207906239034795,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,1,0.4214809,-0.16613099,-1.915165,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.289285449967483,-3.240062145734657,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,2,-0.18084532,-0.16251816,-2.493627,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-6.28,3.726094202224611,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,3,0.12834707,-0.15306295,0.9728028,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,2.272831513718489,5.591680972150195,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,4,-0.01795765,-0.27422395,0.6347585,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,1.0407085248637225,3.5665687561661406,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,5,-0.33289412,-0.4043552,-2.6496627,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,3.966210150163542,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,6,-0.33095694,0.2053786,2.5022316,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,6.28,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,7,-0.33058023,-0.1585534,2.8068774,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.118706805867146,-3.1462262592528156,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,0,-0.62604475,0.45072472,1.8344283,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-6.28,3.0507881037987614,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,1,0.419801,-0.17090431,-1.9015995,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.46684534975857,-4.482396635039181,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,2,-0.18388885,-0.16516523,-2.351122,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-6.28,3.9913472527801614,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,3,0.13156667,-0.14895676,0.83891016,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,1.1816184440588395,5.585265628877921,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,4,-0.013122791,-0.27052668,0.6727719,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-1.4507572744702382,4.427000878174127,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,5,-0.33837104,-0.4072735,-2.65435,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,3.1211638673900928,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,6,-0.33555868,0.20861594,2.5586276,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-6.28,4.766996269800811,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,7,-0.33415705,-0.1572058,2.7552192,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.3971522044802365,-3.480710160194142,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,0,-0.62606597,0.4501215,1.5533762,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,3.2425485468481567,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,1,0.4191537,-0.17264697,-2.1114783,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.158673504625076,-2.710274819066506,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,2,-0.18321268,-0.16410284,-2.0390573,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-6.28,2.8652753422405786,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,3,0.13643956,-0.14349684,0.9064798,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,1.4852166269016527,4.678806464546314,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,4,-0.009379033,-0.26735416,0.7513371,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-0.44979077906857656,4.332251655371666,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,5,-0.3376942,-0.40723336,-2.9452324,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,3.4820411226183428,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,6,-0.3364804,0.20919928,2.2120903,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,-6.28,5.320306774725959,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
3,7,-0.33557025,-0.15654625,2.5398216,0,0.04,0.07,0.03,0.03,0.03,0.8,0.8,4.365804843029749,-2.430631787004261,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
