step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
1,18,-1.475,-0.14,0.57749766,0,0.12999999523162842,0.0,0.0,0.0,0.014679339714348316,0.8550036549568176,0.469081848859787,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,19,-0.425,0.58,-2.789273,0,0.0,0.0,0.1293829381465912,0.0006170540582388639,0.03226147219538689,0.3322668969631195,0.26037830114364624,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,20,0.475,0.7,-1.4038613,0,0.0013062967918813229,0.0,0.12869369983673096,0.0,0.01150310505181551,0.39786505699157715,0.27062225341796875,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,21,1.225,0.94,0.96311295,0,0.0008021627436392009,0.020653653889894485,0.07894712686538696,0.029597049579024315,0.021776990965008736,0.4144495129585266,0.2359158992767334,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,22,-1.025,0.22,-1.7085743,0,0.106325663626194,0.0,0.014033516868948936,0.00964081659913063,0.02221296913921833,0.7096999883651733,0.54282146692276,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
1,23,-0.275,-0.02,-2.6758783,0,0.0,0.0,0.12222763150930405,0.007772361859679222,0.022073380649089813,0.359571635723114,0.34297895431518555,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,0,0.32519114,0.6965277,-1.5503877,0,0.0,0.0017610526410862803,0.12168937176465988,0.006549577694386244,0.013636335730552673,0.42278608679771423,0.27162331342697144,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,1,-0.8736898,-0.5008067,-0.64083105,0,0.07714954018592834,0.0,0.004714862443506718,0.04813560098409653,0.01855691522359848,0.6572062373161316,0.4677812159061432,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,2,1.2228129,-0.85657877,2.115573,0,0.12178538739681244,0.0,0.008214603178203106,0.0,0.03331372141838074,0.660057783126831,0.4293142259120941,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,3,0.47573954,-0.26396933,-1.4112148,0,0.0,0.0,0.12726792693138123,0.002732066670432687,0.01906743086874485,0.3942049741744995,0.364641010761261,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,4,0.022872921,-0.861402,-2.6219323,0,0.023532245308160782,0.010213887318968773,0.07522504031658173,0.021028824150562286,0.004306103568524122,0.427185982465744,0.3134779930114746,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,5,0.9232086,0.09555116,-1.9558972,0,0.0,0.0,0.12999999523162842,0.0,0.01944643259048462,0.4064915180206299,0.29411935806274414,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,6,-1.4767528,-0.7419792,-2.234942,0,0.11387291550636292,0.0,0.0,0.01612708531320095,0.018562085926532745,0.7318564057350159,0.35061144828796387,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,7,-1.6267924,-0.738427,2.4077244,0,0.09771978110074997,0.0,0.0,0.03228021040558815,0.011706146411597729,0.6850427389144897,0.3115379214286804,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,8,-1.0282674,0.09963236,-3.0692825,0,0.05690145120024681,0.0,0.0,0.07309854030609131,0.00784645788371563,0.6719222664833069,0.44687172770500183,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,9,-1.1733061,0.34326196,1.1253507,1,0.0,0.11291863769292831,0.017081355676054955,0.0,0.026711897924542427,0.541466236114502,0.37997710704803467,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,10,0.17703864,0.9369387,-1.0167506,0,0.0,0.0001595597277628258,0.1298404335975647,0.0,0.02546785958111286,0.39583510160446167,0.2390611171722412,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,11,-1.9254407,0.3391396,-2.054859,0,0.013824964873492718,0.0,0.0955682173371315,0.020606813952326775,0.01470766868442297,0.3464643359184265,0.20244067907333374,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,12,0.77107507,-0.14167829,-2.718711,0,0.0,0.0,0.12999999523162842,0.0,0.021731378510594368,0.40999484062194824,0.2854691743850708,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,13,0.6211571,-0.8572244,2.5089839,0,0.0019338252022862434,0.007677551358938217,0.12038861960172653,0.0,0.007800748571753502,0.4194391369819641,0.23219874501228333,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
