step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,0.11605768,-0.17035192,-2.2078419,0,0.0004266577016096562,0.0,0.1214190125465393,0.008154324255883694,0.008326467126607895,0.3926079273223877,0.3808175027370453,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,1,0.2710215,0.4565221,1.7207992,0,0.006231966894119978,0.0,0.09630782157182693,0.02746020257472992,0.009776442311704159,0.34921205043792725,0.28260254859924316,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,2,-0.93663645,0.21084759,2.541083,0,0.10804947465658188,0.0,0.0,0.02195051871240139,0.009637785144150257,0.8248679637908936,0.4384632110595703,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,3,-0.46624634,-0.28439844,-0.4245406,0,0.007085300050675869,0.0,0.12120528519153595,0.0017094083596020937,0.011072144843637943,0.3677566945552826,0.26732903718948364,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,4,-0.32493383,0.19999453,1.2983443,0,0.12999999523162842,0.0,0.0,0.0,0.012823741883039474,0.6782360076904297,0.5913988947868347,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,5,0.5811969,-0.38264167,1.208087,0,0.05650316923856735,0.0,0.0,0.07349681854248047,0.00674194423481822,0.7757628560066223,0.47827887535095215,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,6,0.27515858,-0.055443387,-1.5587482,0,0.00014926436415407807,0.0,0.12224221974611282,0.007608515676110983,0.007441728841513395,0.40536439418792725,0.3847612738609314,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
1,7,-0.63800097,0.3211388,3.0923052,1,0.11913521587848663,0.0,0.010864785872399807,0.0,0.02042097970843315,0.8315733075141907,0.4526500999927521,0.0,0.0,0.0,0.0,1,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,0,0.109069,-0.17911036,-2.256431,0,0.001970012905076146,0.0,0.12179619073867798,0.0062337894923985004,0.00941828265786171,0.4035080671310425,0.401435524225235,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,1,0.26957944,0.46291354,1.7541603,0,0.010331137105822563,0.0004780622839462012,0.094334177672863,0.02485661767423153,0.01149480789899826,0.3585350811481476,0.29417282342910767,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,2,-0.9425919,0.21522115,2.3866594,0,0.10182341933250427,0.0,0.0,0.028176572173833847,0.010553435422480106,0.8356865048408508,0.4677571952342987,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,3,-0.45808876,-0.28740183,-0.2870447,0,0.0036603896878659725,0.0,0.1263396143913269,0.0,0.011846956796944141,0.37383919954299927,0.27990204095840454,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,4,-0.32372352,0.20568776,1.4480717,0,0.12298930436372757,0.0,0.0,0.007010689005255699,0.006161137949675322,0.6972775459289551,0.5996608138084412,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,5,0.58464813,-0.37337103,1.2326995,0,0.07610363513231277,0.0,0.0,0.053896356374025345,0.006812357809394598,0.7991780042648315,0.4717410206794739,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,6,0.2749981,-0.066149876,-1.624608,0,0.005366590805351734,0.0,0.1185910627245903,0.006042345892637968,0.009682911448180676,0.41429734230041504,0.3843159079551697,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,7,-0.64772844,0.32122213,-3.0904756,1,0.0,0.12417419254779816,0.005825796164572239,0.0,0.018465284258127213,0.6032212972640991,0.45993807911872864,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,0,0.10237161,-0.18751976,-2.2020226,0,0.006058050319552422,0.0,0.11495067179203033,0.008991269394755363,0.00997176207602024,0.4203142523765564,0.4076199531555176,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,1,0.26814073,0.4634455,1.759016,0,0.011738432571291924,0.011326758190989494,0.08258489519357681,0.024349918588995934,0.010038036853075027,0.35766884684562683,0.30641913414001465,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,2,-0.9471391,0.22045419,2.1635556,0,0.09564785659313202,0.0,0.0,0.034352146089076996,0.01320908684283495,0.8372493982315063,0.47358599305152893,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,3,-0.44824383,-0.28978196,-0.19784094,0,0.001722588436678052,0.0,0.12827740609645844,0.0,0.012198827229440212,0.38426023721694946,0.2903883457183838,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,4,-0.3234548,0.21310079,1.6327199,0,0.12457979470491409,0.0,0.0,0.005420201923698187,0.006500472314655781,0.6870659589767456,0.587270200252533,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,5,0.58824503,-0.36265618,1.2613951,0,0.09194321185350418,0.0,0.0,0.038056787103414536,0.007458430714905262,0.8195144534111023,0.46633180975914,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,6,0.27436513,-0.077232,-1.6021265,0,0.005894849076867104,0.0,0.11755046248435974,0.0065546901896595955,0.00999395176768303,0.4279977083206177,0.39529678225517273,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
3,7,-0.65489143,0.32031566,-2.899194,1,0.0,0.11711439490318298,0.01288559753447771,0.0,0.017546340823173523,0.5978314876556396,0.45303910970687866,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
4,0,0.0964587,-0.19544905,-2.266055,0,0.005832316353917122,0.0,0.1147594228386879,0.009408251382410526,0.009762383066117764,0.4234749674797058,0.4117720425128937,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
