step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,0.26715812,0.33142382,2.2808626,0,0.007881591096520424,0.0,0.11970503628253937,0.002413362730294466,0.012628958560526371,0.3694777488708496,0.3160390853881836,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,1,-0.927194,0.20334166,1.1331028,0,0.12615177035331726,0.0,0.003848235122859478,0.0,0.012822621501982212,0.8445274829864502,0.4766403138637543,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,2,0.8749193,-0.27994135,-1.7911891,0,0.12999999523162842,0.0,0.0,0.0,0.006148506421595812,0.8468273878097534,0.5149548649787903,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,3,0.12510608,-0.39995894,-1.3094612,0,0.0020674546249210835,0.0,0.1137361079454422,0.014196432195603848,0.005658064968883991,0.3465992212295532,0.323455810546875,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,4,-0.17498133,-0.39989096,-0.9026584,0,0.012334232218563557,0.0,0.10088416188955307,0.016781609505414963,0.0038620084524154663,0.336489737033844,0.29754459857940674,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,5,0.5749196,0.1999711,2.839388,0,0.12999999523162842,0.0,0.0,0.0,0.01194181852042675,0.7067578434944153,0.4827650487422943,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,6,0.5715819,-0.17313315,-1.9846399,0,0.12999999523162842,0.0,0.0,0.0,0.013102653436362743,0.8588483333587646,0.5604268908500671,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,7,-0.77637106,-0.27105176,1.7473525,0,0.0,0.0,0.12999999523162842,0.0,0.006729207467287779,0.4033074975013733,0.2817193865776062,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,0,0.26323697,0.3363856,2.0846982,0,0.00817441288381815,0.0,0.12152251601219177,0.0003030597581528127,0.012708387337625027,0.3851330280303955,0.32712310552597046,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,1,-0.92303985,0.2103846,0.97755545,0,0.1261678785085678,0.0,0.0038321155589073896,0.0,0.013723976910114288,0.844825267791748,0.47022026777267456,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,2,0.873121,-0.2864193,-1.9091114,1,0.12999999523162842,0.0,0.0,0.0,0.006325197871774435,0.8415162563323975,0.4966103732585907,0.0,0.0,0.0,0.0,1,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,3,0.1271072,-0.40674844,-1.2500056,0,0.004030539654195309,0.0,0.11590120941400528,0.010068239644169807,0.005943814292550087,0.35380005836486816,0.3372473120689392,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,4,-0.17161106,-0.40450102,-0.98884726,0,0.01390082761645317,0.003060491755604744,0.10254893451929092,0.01048973947763443,0.004455207847058773,0.3455033600330353,0.3052629232406616,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,5,0.5697678,0.20120022,3.0077126,0,0.12999999523162842,0.0,0.0,0.0,0.011596516706049442,0.6861659288406372,0.4880642890930176,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,6,0.5682859,-0.18101676,-1.8796504,0,0.12999999523162842,0.0,0.0,0.0,0.012131321243941784,0.8506690263748169,0.5548949837684631,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,7,-0.7783378,-0.26034597,1.7510058,0,0.0,0.0,0.12999999523162842,0.0,0.0073111895471811295,0.41203415393829346,0.30027204751968384,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,0,0.26033974,0.34157136,2.1718037,0,0.005324904806911945,0.0,0.12467508763074875,0.0,0.012116296216845512,0.3831159174442291,0.3328162431716919,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,1,-0.9170242,0.21837084,0.8697378,0,0.11229102313518524,0.0,0.017708972096443176,0.0,0.013770663179457188,0.8506091237068176,0.4403025805950165,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,2,0.869748,-0.29425365,-2.0532813,1,0.0,0.12999999523162842,0.0,0.0,0.004112378228455782,0.5870025753974915,0.446557879447937,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,3,0.1300721,-0.41488945,-1.1950966,0,0.010504636913537979,0.0,0.10782945901155472,0.011665897443890572,0.007218259386718273,0.35968106985092163,0.32563352584838867,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,4,-0.16713046,-0.4113051,-0.9437948,0,0.018661702051758766,0.0029030826408416033,0.09975162148475647,0.008683581836521626,0.0057293870486319065,0.3672877550125122,0.30702683329582214,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,5,0.5631281,0.20142893,-3.0624385,0,0.12999999523162842,0.0,0.0,0.0,0.010319344699382782,0.7052317261695862,0.4816255569458008,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,6,0.5664427,-0.18870448,-1.7135019,0,0.12999999523162842,0.0,0.0,0.0,0.009318266995251179,0.8646393418312073,0.5506287813186646,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,7,-0.78015506,-0.24939896,1.7025416,0,0.0046636187471449375,0.0,0.12387601286172867,0.0014603716554120183,0.00759501289576292,0.43037447333335876,0.30542194843292236,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,0,0.25584525,0.34706795,2.355291,0,0.006638594437390566,0.0,0.12336140125989914,0.0,0.010544633492827415,0.37876030802726746,0.3293350338935852,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,1,-0.91008437,0.22586195,0.77106434,0,0.1051454022526741,0.0,0.024854596704244614,0.0,0.013939723372459412,0.8537256717681885,0.4285448491573334,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,2,0.8652882,-0.30150226,-2.1965566,1,0.0,0.12999999523162842,0.0,0.0,0.00415852852165699,0.551655650138855,0.43242302536964417,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,3,0.13344598,-0.42264372,-1.1129737,0,0.012586452066898346,0.0,0.10636957734823227,0.011043966747820377,0.007572566624730825,0.3625791072845459,0.3231837749481201,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,4,-0.16189884,-0.41773424,-0.80486065,0,0.01973743364214897,0.003901274874806404,0.09888982772827148,0.0074714673683047295,0.006447981111705303,0.37196558713912964,0.30629730224609375,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,5,0.5566414,0.20021729,-2.8485403,0,0.12999999523162842,0.0,0.0,0.0,0.01109398528933525,0.7023969292640686,0.49669182300567627,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,6,0.56593806,-0.19662087,-1.5492054,0,0.12999999523162842,0.0,0.0,0.0,0.008925354108214378,0.8530934453010559,0.5496841073036194,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
4,7,-0.7815507,-0.23770788,1.689289,0,0.00441703898832202,0.0,0.12399835139513016,0.001584603451192379,0.007666830904781818,0.4382380545139313,0.3115692734718323,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,0,0.2516431,0.3505723,2.6085405,0,0.008434629067778587,0.0,0.12156537175178528,0.0,0.008052149787545204,0.3780631721019745,0.31937554478645325,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,1,-0.90213567,0.2330001,0.69201535,0,0.10224688053131104,0.0,0.027753112837672234,0.0,0.014065527357161045,0.8584150075912476,0.42339739203453064,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,2,0.8597213,-0.30824026,-2.3317578,1,0.0,0.1293172687292099,0.0006827310426160693,0.0,0.004645300097763538,0.5422214865684509,0.43153440952301025,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,3,0.1378317,-0.43048328,-0.99751914,0,0.012999165803194046,0.0,0.10517663508653641,0.011824187822639942,0.00809177290648222,0.36388128995895386,0.3221409022808075,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,4,-0.1574031,-0.4223625,-0.86926,0,0.01965804398059845,0.006641759537160397,0.09735487401485443,0.00634532468393445,0.006765847560018301,0.372342050075531,0.3045915961265564,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,5,0.55037886,0.19763148,-2.645,0,0.12999999523162842,0.0,0.0,0.0,0.013175124302506447,0.6975585222244263,0.5141918063163757,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,6,0.56674606,-0.20449813,-1.3853334,0,0.12999999523162842,0.0,0.0,0.0,0.009197480976581573,0.8403122425079346,0.5487335920333862,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
5,7,-0.7827738,-0.22630037,1.6548998,0,0.09060446918010712,0.0,0.0393955335021019,0.0,0.009591332636773586,0.6430433988571167,0.3713606894016266,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,0,0.24879529,0.35181314,2.8524897,0,0.007406190503388643,0.0013890585396438837,0.12120474874973297,0.0,0.005760436411947012,0.37403950095176697,0.3090493679046631,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,1,-0.89354944,0.23962931,0.6225629,0,0.0998477041721344,0.0,0.030152294784784317,0.0,0.014151905663311481,0.863166332244873,0.4212941825389862,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,2,0.8530961,-0.31442946,-2.4549062,1,0.0,0.12640975415706635,0.0035902445670217276,0.0,0.005006491672247648,0.5366334915161133,0.4350736141204834,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,3,0.14321855,-0.43784449,-0.8758198,0,0.01333879679441452,0.0,0.10285185277462006,0.013809343799948692,0.009086795151233673,0.3651109039783478,0.32035768032073975,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,4,-0.15227747,-0.42816666,-0.7691534,0,0.016412774100899696,0.010196387767791748,0.09852670133113861,0.004864138085395098,0.006489676423370838,0.3714425265789032,0.3074880838394165,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,5,0.5448185,0.19387771,-2.4544134,0,0.12999999523162842,0.0,0.0,0.0,0.01409081555902958,0.6877601146697998,0.5379769802093506,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,6,0.56889117,-0.21245578,-1.2331467,0,0.12999999523162842,0.0,0.0,0.0,0.009705028496682644,0.8350883722305298,0.5452625751495361,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
6,7,-0.78347087,-0.21514164,1.6061231,0,0.10584061592817307,0.0,0.02415938302874565,0.0,0.01283000037074089,0.6589869856834412,0.41803479194641113,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
7,0,0.24619567,0.35250878,2.8327239,0,0.004840468987822533,0.0038786674849689007,0.12128086388111115,0.0,0.005210123024880886,0.37179142236709595,0.3012275695800781,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,1,-0.884715,0.24556705,0.5557567,1,0.09861521422863007,0.0,0.031384777277708054,0.0,0.014175038784742355,0.8668588995933533,0.4213116765022278,0.0,0.0,0.0,0.0,1,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,2,0.8455303,-0.31997567,-2.5662332,1,0.0,0.1239214614033699,0.0060785310342907906,0.0,0.005485170055180788,0.531501293182373,0.43967360258102417,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,3,0.14838423,-0.44383883,-0.88754165,0,0.01284871343523264,0.0008917360100895166,0.10141361504793167,0.014845937490463257,0.009957218542695045,0.3654778003692627,0.31947097182273865,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,4,-0.1460681,-0.43361157,-0.6655287,0,0.016912216320633888,0.010227623395621777,0.09643451124429703,0.006425648462027311,0.007587261497974396,0.3699324131011963,0.3043377697467804,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,5,0.5394575,0.18863037,-2.2771478,0,0.12999999523162842,0.0,0.0,0.0,0.014028146862983704,0.680855393409729,0.5586478114128113,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,6,0.57232624,-0.22038691,-1.0941169,0,0.12999999523162842,0.0,0.0,0.0,0.010585660114884377,0.8369009494781494,0.5343559980392456,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
7,7,-0.7836867,-0.20339283,1.5776285,0,0.11334238201379776,0.0,0.016657615080475807,0.0,0.012990021146833897,0.6647809743881226,0.4441395103931427,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
8,0,0.23939882,0.35441592,2.9416783,0,0.004421843681484461,0.005489125847816467,0.12008901685476303,0.0,0.005119561683386564,0.3701092004776001,0.29905515909194946,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,4.5
