step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
1,0,0.325,0.7,-1.2954488,0,0.002294268924742937,0.0026362899225205183,0.11511310189962387,0.009956340305507183,0.012926476076245308,0.41852322220802307,0.273160457611084,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,1,-0.875,-0.5,1.1321583,0,0.12369459867477417,0.0,0.0,0.006305396091192961,0.036713857203722,0.7902098298072815,0.4198397099971771,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,2,1.225,-0.86,2.4643228,0,0.12933862209320068,0.0,0.000661368714645505,0.0,0.03062134049832821,0.6768763065338135,0.4468754827976227,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,3,0.475,-0.26,2.0859,0,0.0,0.0,0.12999999523162842,0.0,0.015381364151835442,0.3510476350784302,0.24861812591552734,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,4,0.025,-0.86,-1.2736337,0,0.0019272076897323132,0.0,0.11670812964439392,0.011364659294486046,0.016716232523322105,0.34509581327438354,0.2702246308326721,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,5,0.925,0.1,-2.5094168,0,0.00036008976167067885,0.0,0.12749908864498138,0.0021408090833574533,0.01854083500802517,0.40628039836883545,0.24452704191207886,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,6,-1.475,-0.74,-1.7474437,0,0.06711714714765549,0.0,0.0024687356781214476,0.060414113104343414,0.022669238969683647,0.6702656745910645,0.2853730022907257,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,7,-1.625,-0.74,2.1048956,0,0.1027810275554657,0.0,0.0,0.027218973264098167,0.010513841174542904,0.7513974905014038,0.3626403212547302,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,8,-1.025,0.1,0.51686776,0,0.12999999523162842,0.0,0.0,0.0,0.03449011966586113,0.6787670850753784,0.5435594916343689,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
1,9,-1.175,0.34,1.4841037,1,0.12999999523162842,0.0,0.0,0.0,0.03812917694449425,0.8385874032974243,0.43842220306396484,0.0,0.0,0.0,0.0,1,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.849999904632568,1.25,-0.5,5.0
