step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
1,0,0.325,0.7,-1.7763797,0,0.0019277168903499842,0.0,0.12558510899543762,0.002487167017534375,0.019463447853922844,0.4075508713722229,0.2443966567516327,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,1,-0.875,-0.5,1.0146524,0,0.11946523934602737,0.0,0.0,0.010534750297665596,0.036095406860113144,0.7985578179359436,0.4126322269439697,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,2,1.225,-0.86,0.33898214,0,0.07945963740348816,0.0060926200821995735,0.033395878970623016,0.011051859706640244,0.00994770135730505,0.6754541397094727,0.2983131408691406,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,3,0.475,-0.26,-1.0193651,0,0.0,0.0,0.1256728619337082,0.0043271309696137905,0.017256954684853554,0.37339887022972107,0.31874871253967285,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,4,0.025,-0.86,-1.1153014,0,0.003619473660364747,0.0,0.11384052783250809,0.012539992108941078,0.014541862532496452,0.3403184413909912,0.26943808794021606,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,5,0.925,0.1,1.8534262,0,0.0006986905937083066,0.0,0.12776440382003784,0.0015368987806141376,0.026948798447847366,0.3487820625305176,0.22796565294265747,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,6,-1.475,-0.74,-1.6320368,0,0.052753470838069916,0.0,0.007188473362475634,0.07005805522203445,0.022766616195440292,0.6511256098747253,0.272094190120697,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,7,-1.625,-0.74,2.529506,0,0.08954227715730667,0.0,0.0,0.04045771807432175,0.010478705167770386,0.66483473777771,0.3221204876899719,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,8,-1.025,0.1,1.965984,0,0.12999999523162842,0.0,0.0,0.0,0.0345035083591938,0.688560962677002,0.47374171018600464,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,9,-1.175,0.34,-0.47620735,1,0.11327484250068665,0.0,0.0,0.01672515459358692,0.031922806054353714,0.8838860988616943,0.3931424617767334,0.0,0.0,0.0,0.0,1,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,10,0.175,0.94,2.5945904,0,0.012825670652091503,0.0,0.08876930922269821,0.02840501442551613,0.017922313883900642,0.3334006667137146,0.23390412330627441,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,11,-1.925,0.34,-2.1814475,0,0.012149699032306671,0.0,0.08610275387763977,0.031747546046972275,0.016627231612801552,0.3369969129562378,0.1961067020893097,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,12,0.775,-0.14,-2.383326,0,0.0,0.0,0.12999999523162842,0.0,0.018466368317604065,0.3986097574234009,0.28294283151626587,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,13,0.625,-0.86,0.029010795,0,0.0,0.0,0.12375350296497345,0.006246495526283979,0.009304426610469818,0.33629870414733887,0.25243616104125977,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,14,-1.625,0.22,0.8267688,0,0.12999999523162842,0.0,0.0,0.0,0.039469391107559204,0.6905741095542908,0.3873950242996216,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
1,15,1.375,-0.14,-1.7082739,0,0.12999999523162842,0.0,0.0,0.0,0.03869973495602608,0.7325087785720825,0.4069637060165405,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,0,0.32422683,0.69608444,-1.739981,0,0.0,0.0,0.12994465231895447,5.533841249416582e-05,0.022076454013586044,0.41198664903640747,0.2659606337547302,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,1,-0.8736627,-0.49773204,1.0989441,0,0.11913832277059555,0.0,0.0,0.010861671529710293,0.033799752593040466,0.7811565399169922,0.4065813720226288,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,2,1.2285585,-0.85869366,0.3824467,0,0.08289407938718796,0.010401846840977669,0.02042185142636299,0.016282225027680397,0.01202446036040783,0.6772444844245911,0.28326719999313354,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,3,0.4770803,-0.26346055,-1.0541276,0,0.0,0.0,0.12673459947109222,0.0032654032111167908,0.020486030727624893,0.37981390953063965,0.3497934937477112,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,4,0.026218245,-0.86234677,-1.0313638,0,0.0036642129998654127,0.0,0.12006635218858719,0.006269433535635471,0.015290494076907635,0.3475436568260193,0.28544819355010986,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,5,0.92366666,0.10460689,1.8501571,0,0.0,0.0,0.12999999523162842,0.0,0.028403116390109062,0.3609238266944885,0.23798757791519165,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,6,-1.475107,-0.7428208,-1.554456,0,0.06708258390426636,0.0,0.0014072798658162355,0.06151013448834419,0.020210331305861473,0.6578131914138794,0.2713881731033325,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,7,-1.6269816,-0.73859197,2.5103314,0,0.09153416007757187,0.0,0.0,0.03846583515405655,0.011609109118580818,0.6636787056922913,0.30132216215133667,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
2,8,-1.026847,0.10439495,1.9750377,0,0.12999999523162842,0.0,0.0,0.0,0.024833694100379944,0.661626935005188,0.529578447341919,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.5,1.25,-0.5,5.0
