step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,0.13909537,-0.27678978,0.21379426,0,0.04958123713731766,0.004526644479483366,0.07417363673448563,0.0017184766475111246,0.002987296087667346,0.43167558312416077,0.34172898530960083,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,1,-0.025153339,0.19982225,-3.0473435,0,0.0,0.0,0.12916778028011322,0.0008322102949023247,0.010967177338898182,0.3510666489601135,0.3374882936477661,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,2,0.11825205,-0.15065935,2.1355634,0,0.0,0.05558740347623825,0.07441259175539017,0.0,0.0012092472752556205,0.41549113392829895,0.41059422492980957,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,3,0.723532,-0.26743805,1.596231,1,0.12999999523162842,0.0,0.0,0.0,0.014934666454792023,0.9451965689659119,0.49744713306427,0.0,0.0,0.0,0.0,1,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,4,0.4288165,-0.4083947,-1.2220434,0,0.12702171504497528,0.0,0.002759462920948863,0.00021881252177990973,0.005958788562566042,0.7146973609924316,0.503551721572876,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,5,-0.64309675,-0.40008318,-3.1077497,0,0.038224149495363235,0.0,0.08439882099628448,0.007377029862254858,0.005194840021431446,0.4604666233062744,0.29621630907058716,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,6,-0.6215056,-0.0562113,-1.4235919,0,0.07212857902050018,0.0,0.0,0.05787140876054764,0.010296001099050045,0.6461099982261658,0.42204049229621887,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
1,7,0.42494184,-0.040003773,0.68990016,0,0.12999999523162842,0.0,0.0,0.0,0.009555066004395485,0.6477267742156982,0.6470109224319458,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,0,0.14438687,-0.27552623,0.313825,0,0.03434258699417114,0.0018130328971892595,0.09209657460451126,0.0017478065565228462,0.004326072055846453,0.4320979714393616,0.34925931692123413,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,1,-0.032534435,0.19941756,-3.141377,0,0.0,0.0,0.12999999523162842,0.0,0.01246621459722519,0.3672000467777252,0.35784614086151123,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,2,0.11342283,-0.1420046,2.0340607,0,0.0,0.03542686626315117,0.09457312524318695,0.0,0.00185243203304708,0.4155343174934387,0.41983866691589355,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,3,0.72384447,-0.25795844,1.4817559,1,0.0,0.12927351891994476,0.0007264708983711898,0.0,0.01490279845893383,0.5779818296432495,0.47539564967155457,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,4,0.43166313,-0.41473475,-1.0424466,0,0.09166756272315979,0.0,0.0008485325379297137,0.037483904510736465,0.004675203934311867,0.7447487115859985,0.47326722741127014,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,5,-0.6500177,-0.40070048,-2.9165547,0,0.034298356622457504,0.0,0.08429815620183945,0.011403482407331467,0.005128536373376846,0.45734262466430664,0.3027753233909607,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,6,-0.6209892,-0.06197089,-1.6605892,0,0.07599026709794998,0.0,0.0,0.054009728133678436,0.010546302422881126,0.6335494518280029,0.4291975796222687,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
2,7,0.43045816,-0.035878208,0.5779955,0,0.12999999523162842,0.0,0.0,0.0,0.008208852261304855,0.6730358004570007,0.6227810978889465,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,0,0.15256971,-0.27290374,0.2609174,0,0.014413622207939625,0.004377502016723156,0.10873155295848846,0.0024773275945335627,0.004750855732709169,0.4350318908691406,0.3500624895095825,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,1,-0.041418213,0.19993947,3.0111191,0,0.0005615075933746994,0.0,0.12943848967552185,0.0,0.0142325134947896,0.39015161991119385,0.3850519359111786,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,2,0.108367056,-0.13147438,2.0282743,0,0.0012173891300335526,0.0154469208791852,0.1114317774772644,0.0019039063481613994,0.0037764403969049454,0.41982510685920715,0.41459283232688904,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
3,3,0.7245588,-0.24903986,1.5680423,1,0.0,0.11864995956420898,0.011350041255354881,0.0,0.01334074605256319,0.5606964826583862,0.4885287284851074,0.0,0.0,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,4.5
