step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap
1,0,0.42212355,-0.402124,-2.584089,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,2.832432451467686,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,1,-0.6228392,0.09825906,1.504355,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,-0.6440955751136321,4.648487832926372,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,2,-0.17650823,-0.039846316,0.5715071,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,2.787933703551049,4.482155520079821,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,3,0.13118523,0.44255805,0.25350156,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.200829652707276,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,4,0.5898345,-0.03496959,0.314303,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.832062619327814,-2.4681222093565176,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,5,0.13816538,0.084663056,0.40859962,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,3.329316180010908,-2.841953018426324,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,6,-0.77864766,0.20436075,2.3838558,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,5.269420043824024,1.5501039778838743,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
1,7,-0.4817833,0.19708715,-2.7055814,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.541950426231272,-1.9664350046836907,0.0,0.0,0,0,0,1,-0.75,0.25,5.0,0.75,-0.25,5.0
2,0,0.41859126,-0.40384343,-2.80481,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,1.6292553510394054,-6.28,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,1,-0.62200546,0.11078949,1.5045191,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,1.4850452095570124,5.555352034174307,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,2,-0.17553228,-0.039247274,0.5368803,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,5.321694267761227,0.7622011200436478,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,3,0.13713215,0.44338027,0.0065226145,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,4.4989994031894,-5.416270355620674,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
2,4,0.5994533,-0.032310043,0.21959077,0,0.08,0.05,0.05,0.03,0.05,0.6,0.6,3.6642553629854815,-1.797431067474009,0.0,0.0,0,0,0,1,-0.75,0.25,4.5,0.75,-0.25,5.0
