step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_shape,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
1,0,-1.35,-0.25,5.341205e-10,-2.1979887e-10,-1.9611905,-6.28,0.8328793103075077,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.4164808690547943,0.39227229356765747,0,0,1
1,1,-1.25,-0.35,-5.6307226e-10,1.2863222e-10,1.3462032,6.28,5.716875631149536,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.41688835620880127,0.4540071189403534,0,0,1
1,2,-1.15,-0.15,5.2921895e-10,2.3134963e-10,-1.158677,-5.556551573909801,4.142605606322398,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.41955387592315674,0.2147613763809204,0,0,1
1,3,-1.15,0.15,3.3315656e-11,5.7661315e-10,-0.057713687,4.573490361735922,6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.3472987711429596,0.12936265766620636,0,0,1
1,4,-1.25,0.05,5.0790133e-10,-2.7501593e-10,-2.0670712,-3.1021205643097884,3.8645332469386284,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.35859453678131104,0.10101527720689774,0,0,1
1,5,-1.15,0.45,-5.764621e-10,3.588859e-11,1.50862,-3.50110201806601,-6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.3914111852645874,0.4716449975967407,0,0,1
1,6,-1.15,0.05,5.4624005e-10,-1.8765951e-10,-1.9017115,-4.804326725314133,4.329812207824318,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.3265767991542816,0.0202031172811985,0,0,1
1,7,-0.85,0.35,-3.0900667e-11,-5.7674926e-10,3.0880663,-6.28,2.3343439700722763,0.09,0.04,0.05,1.0,5.0,0.52589657820692,0.8733333349227905,1.15,0.0,1.0,0.4195583760738373,0.5050762295722961,0,0,1
2,0,-1.35,-0.25,-8.7842067e-10,3.6148382e-10,-1.9611905,-6.28,0.8328793103075077,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.791313648223877,0.39227229356765747,0,0,1
2,1,-1.25,-0.35,9.260419e-10,-2.115516e-10,1.3462032,6.28,5.716875631149536,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.7920878529548645,0.4540071189403534,0,0,1
2,2,-1.15,-0.15,-8.7035984e-10,-3.8048067e-10,-1.158677,-5.556551573909801,4.142605606322398,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.7971524000167847,0.2147613763809204,0,0,1
2,3,-1.15,0.15,-5.4789877e-11,-9.483028e-10,-0.057713687,4.573490361735922,6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.6598676443099976,0.12936265766620636,0,0,1
2,4,-1.25,0.05,-8.3530527e-10,4.52296e-10,-2.0670712,-3.1021205643097884,3.8645332469386284,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.681329607963562,0.10101527720689774,0,0,1
2,5,-1.15,0.45,9.48057e-10,-5.902274e-11,1.50862,-3.50110201806601,-6.28,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.7436812520027161,0.4716449975967407,0,0,1
2,6,-1.15,0.05,-8.9835067e-10,3.0862754e-10,-1.9017115,-4.804326725314133,4.329812207824318,0.09,0.04,0.05,1.0,5.0,0.52589657820692,1.0,1.15,0.0,1.0,0.6204959154129028,0.0202031172811985,0,0,1
2,7,-0.85,0.35,5.0818107e-11,9.485372e-10,3.0880663,-6.28,2.3343439700722763,0.09,0.04,0.05,1.0,5.0,0.52589657820692,0.8733333349227905,1.15,0.0,1.0,0.7971609234809875,0.5050762295722961,0,0,1
3,0,-1.3486698,-0.24582452,0.012561936,0.053643923,-1.7603775,-6.28,0.6504708122450048,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,1.0977692604064941,0.38930195569992065,0,0,1
3,1,-1.2478012,-0.34066862,0.028227394,0.11644496,1.3298806,6.28,5.414443289310496,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,1.0983483791351318,0.4443831741809845,0,0,1
3,2,-1.1505762,-0.14899875,-0.00852443,0.011986535,-0.88387513,-3.3257958854012406,4.802494678803268,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,1.1054691076278687,0.2143728882074356,0,0,1
3,3,-1.1413532,0.1496799,0.108450696,-0.0019133121,-0.008481409,5.684398443763773,6.28,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,0.9002683162689209,0.1292095184326172,0,0,1
3,4,-1.2502488,0.04943801,-0.002585988,-0.0071200463,-1.87071,-1.4896763886755662,3.6858828881691466,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,0.9300984740257263,0.10305585712194443,0,0,1
3,5,-1.150746,0.44225645,-0.012442038,-0.09714179,1.4282138,-3.064385391354335,-6.28,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,1.034613013267517,0.4618058204650879,0,0,1
3,6,-1.1499107,0.050373945,0.0007605586,0.004671038,-1.6435939,-3.246660913331498,4.992041717882642,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,1.0,1.15,0.0,1.0,0.8846033811569214,0.018554916605353355,0,0,1
3,7,-0.8468183,0.3501483,0.03991658,0.0057309256,-2.9507403,-6.28,3.2398109184755386,0.09,0.04,0.05,1.0,5.0,0.4766268858472237,0.8693032264709473,1.15,0.0,1.0,1.1054785251617432,0.5057214498519897,0,0,1
4,0,-1.3482739,-0.24033678,-0.0015563548,0.05510672,-1.5084479,-6.28,0.918049361123488,0.09,0.04,0.05,1.0,5.0,0.4811379905805804,1.0,1.15,0.0,1.0,1.309211015701294,0.3861958086490631,0,0,1
4,1,-1.2448288,-0.329045,0.030648286,0.116007,1.3098668,6.28,5.177996345884521,0.09,0.04,0.05,1.0,5.0,0.4811379905805804,1.0,1.15,0.0,1.0,1.3085963726043701,0.4325244128704071,0,0,1
4,2,-1.1515803,-0.14793983,-0.009471872,0.009295174,-0.5114875,-0.4189231159238145,5.60032705659904,0.09,0.04,0.05,1.0,5.0,0.4811379905805804,1.0,1.15,0.0,1.0,1.317873239517212,0.21441030502319336,0,0,1
4,3,-1.1304958,0.14989993,0.10858246,0.004821159,0.052226167,6.197759929290673,6.28,0.09,0.04,0.05,1.0,5.0,0.4811379905805804,1.0,1.15,0.0,1.0,1.0444531440734863,0.13024722039699554,0,0,1
4,4,-1.2503972,0.04867907,-0.00082884106,-0.0077608353,-1.6245059,-1.427042930492817,3.855914150212836,0.09,0.04,0.05,1.0,5.0,0.4811379905805804,1.0,1.15,0.0,1.0,1.0702705383300781,0.10510418564081192,0,0,1
