step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_total,q_shape,q_uniformity,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
1,0,-0.93701446,0.25535318,0.085639775,0.050732303,0.5738354,6.28000020980835,0.3149997591972351,0.020651334896683693,0.10934866219758987,0.006135390605777502,1.0,1.213977336883545,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,3.9067089557647705,0.3676914572715759,0,0,1
1,1,-0.8469224,-0.24966608,0.0009705005,0.0013297598,1.9568498,5.234203815460205,6.28000020980835,0.011714408174157143,0.11828558146953583,0.023545240983366966,1.0,1.1711649894714355,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,7.55170202255249,0.3248337209224701,0,0,1
1,2,-0.8446948,0.36352405,0.037337672,0.092062265,1.1796916,0.3149997591972351,6.28000020980835,0.01286750752478838,0.11713248491287231,0.03333344683051109,1.0,1.1603727340698242,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,7.932918548583984,0.5229611992835999,0,0,1
1,3,-0.8346051,-0.3513017,0.090361826,-0.020977642,-0.24619643,0.3149997591972351,6.28000020980835,0.006402685306966305,0.12359731644392014,0.030028250068426132,1.0,1.175757646560669,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,7.530243396759033,0.42353078722953796,0,0,1
1,4,-1.1626493,-0.34534806,-0.095692575,0.03029513,2.8237405,6.28000020980835,1.4367409944534302,0.019031165167689323,0.11096882820129395,0.016975464299321175,1.0,1.190474033355713,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,8.095833778381348,0.36571329832077026,0,0,1
1,5,-0.9500328,-0.3364885,0.0060983575,0.093394935,1.4926283,5.2669358253479,6.28000020980835,0.004164212848991156,0.12583577632904053,0.01848960667848587,1.0,1.1511988639831543,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,8.061047554016113,0.3484745919704437,0,0,1
1,6,-1.4499564,0.05000154,9.897583e-05,9.763432e-05,-1.9756408,1.480971336364746,6.28000020980835,0.06458777189254761,0.06541221588850021,0.03500000014901161,1.0,1.9677261114120483,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,8.414911270141602,0.4743845462799072,0,0,1
1,7,-1.3454275,0.23627552,0.020407582,-0.09768853,-1.38763,4.68029260635376,6.28000020980835,0.013789745047688484,0.11621025204658508,0.00096310512162745,1.0,1.120263934135437,0.03813085769773003,0.023068082003025778,0.07327733431870663,1.0,1.15,0.0,1.0,8.024109840393066,0.47089555859565735,0,0,1
2,0,-0.9308504,0.259081,0.060046237,0.029244224,0.42345706,6.28000020980835,0.3149997591972351,0.007833314128220081,0.12216667830944061,0.001325407880358398,1.0,1.1016143560409546,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,4.766851425170898,0.37183696031570435,0,0,1
2,1,-0.85048157,-0.24119586,-0.045275103,0.10571822,1.9872996,5.226077079772949,6.28000020980835,0.009911077097058296,0.12008892744779587,0.019692206755280495,1.0,1.1647592782974243,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,7.62032413482666,0.3161201775074005,0,0,1
2,2,-0.84212303,0.37029278,0.018537194,0.06387096,1.3292493,6.28000020980835,0.3149997591972351,0.009922415018081665,0.12007758021354675,0.03500000014901161,1.0,1.1431833505630493,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,8.015382766723633,0.5289263129234314,0,0,1
2,3,-0.827729,-0.35285884,0.0663432,-0.009406417,-0.10247205,0.3149997591972351,6.28000020980835,0.0077619184739887714,0.12223806977272034,0.028922028839588165,1.0,1.1604955196380615,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,7.697834014892578,0.4308598041534424,0,0,1
2,4,-1.1703879,-0.34226093,-0.07390232,0.035616618,2.6648915,6.28000020980835,1.6517446041107178,0.010011076927185059,0.11998891830444336,0.01879272796213627,1.0,1.1942126750946045,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,8.187310218811035,0.3680504262447357,0,0,1
2,5,-0.9490047,-0.32540134,0.009293066,0.11579184,1.4995737,4.920577526092529,6.28000020980835,0.003152980701997876,0.1268470138311386,0.01749340444803238,1.0,1.1424041986465454,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,8.15766429901123,0.3386738896369934,0,0,1
2,6,-1.452032,0.044230662,-0.02250282,-0.07482624,-1.8369642,1.187568187713623,6.28000020980835,0.026190856471657753,0.10380914062261581,0.03500000014901161,1.0,1.339008092880249,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,7.409615993499756,0.4754423201084137,0,0,1
2,7,-1.3435459,0.22567034,0.02170881,-0.10760853,-1.362748,4.393875598907471,6.28000020980835,0.007715747691690922,0.12228425592184067,0.0,1.0,1.1427654027938843,0.03991639776421972,0.023606896816524163,0.07797189997550937,1.0,1.15,0.0,1.0,8.129434585571289,0.4601311683654785,0,0,1
