step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_total,q_shape,q_uniformity,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
1,0,-2.55,0.05,-5.365683e-10,2.1376462e-10,1.1916763,6.28000020980835,4.985873699188232,0.004763495177030563,0.12523649632930756,0.02823709137737751,1.0,1.0957634449005127,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0518503189086914,0.07221511751413345,0,0,1
1,1,-2.85,-0.45000005,-4.780355e-10,-3.241601e-10,2.1666784,-0.6242387294769287,6.28000020980835,0.010650798678398132,0.11934919655323029,0.014195534400641918,1.0,1.3074063062667847,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0672707557678223,0.5257343649864197,0,0,1
1,2,-2.65,-0.35000002,-4.896896e-10,3.062654e-10,1.0118899,6.28000020980835,0.3149997591972351,0.008341284468770027,0.12165870517492294,0.01690490171313286,1.0,1.2664068937301636,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0613794326782227,0.36107581853866577,0,0,1
1,3,-2.45,-0.25000003,-6.687431e-11,5.736947e-10,0.116043776,6.28000020980835,2.506688356399536,0.006993855815380812,0.12300613522529602,0.011171075515449047,1.0,1.2423548698425293,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0666301250457764,0.29775068163871765,0,0,1
1,4,-2.95,-0.65000004,-5.251099e-10,2.4053573e-10,1.141254,5.696700572967529,6.28000020980835,0.02103770524263382,0.1089622899889946,0.010686864145100117,1.0,1.6781672239303589,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,1.9997652769088745,0.753948450088501,1,0,1
1,5,-2.65,0.8500001,-1.4461253e-10,-5.5918203e-10,2.8885233,0.6781231760978699,6.28000020980835,0.014015461318194866,0.11598453670740128,0.004439076408743858,1.0,1.326305627822876,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.047166109085083,0.8695858120918274,1,0,1
1,6,-2.65,-0.25000003,5.758679e-10,4.442872e-11,-1.4937978,6.28000020980835,5.4503350257873535,0.010248515754938126,0.1197514757514,0.01321278978139162,1.0,1.7454571723937988,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0531516075134277,0.2603754997253418,0,0,1
1,7,-2.25,-0.65000004,5.155269e-11,5.752727e-10,-0.08937601,0.3149997591972351,6.28000020980835,0.012907546944916248,0.11709244549274445,0.004508472513407469,1.0,1.2733237743377686,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0666213035583496,0.7539483904838562,1,0,1
1,8,-2.45,-0.05,-4.933459e-10,-3.003473e-10,2.1176593,6.28000020980835,0.3149997591972351,0.014915663748979568,0.11508432775735855,0.01685640588402748,1.0,1.5403603315353394,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0615625381469727,0.16147786378860474,0,0,1
1,9,-2.75,-0.5500001,3.821816e-11,-5.763145e-10,-3.0753744,6.28000020980835,0.6120182871818542,0.015223711729049683,0.11477628350257874,0.007077443413436413,1.0,1.2059303522109985,0.03283158719913405,0.00552679939175311,0.0965427587496896,1.0,3.15,0.0,1.0,2.0609734058380127,0.5822173357009888,1,0,1
