step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_total,q_shape,q_uniformity,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
3,4,-1.4509143,0.050319422,0.011862226,-0.029688142,1.9048153,6.28000020980835,-4.959482192993164,0.064724400639534,0.06527560204267502,0.03500000014901161,1.0,1.81276273727417,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,13.79730224609375,0.26338130235671997,0,0,1
3,5,-1.4337157,-0.24365877,0.086886145,0.042794127,0.47042373,3.7528765201568604,6.28000020980835,0.06356415152549744,0.06643584370613098,0.03500000014901161,1.0,1.4168510437011719,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,14.643586158752441,0.3717503547668457,0,0,1
3,6,-1.4491777,0.24965143,0.03040681,0.0076013217,-2.85429,-4.785000324249268,6.28000020980835,0.06423267722129822,0.0657673180103302,0.03500000014901161,1.0,1.7105872631072998,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,14.645776748657227,0.3787975609302521,0,0,1
3,7,-0.8520258,0.44958055,-0.025799425,-0.0037047223,-2.9190419,-1.2454899549484253,6.00874662399292,0.062343697994947433,0.06765629351139069,0.03500000014901161,1.0,1.8131227493286133,0.02451582575317645,0.01852999814348035,0.03848275684246736,1.0,1.05,0.0,1.0,11.45927619934082,0.6624842286109924,0,0,1
4,0,-0.8511599,-0.42108828,-0.016173666,0.10292305,1.7359529,4.582554340362549,6.28000020980835,0.06366609781980515,0.06633390486240387,0.03500000014901161,1.0,1.444989800453186,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,14.611567497253418,0.649783194065094,0,0,1
4,1,-1.1549745,-0.31601232,-0.013134444,0.11703277,1.6791025,6.28000020980835,5.465993881225586,0.06204890459775925,0.06795109063386917,0.03500000014901161,1.0,1.5544965267181396,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,14.36330509185791,0.3787896931171417,0,0,1
4,2,-1.4456193,-0.043178238,0.02347722,0.02140691,0.609152,5.252610206604004,-0.9637687802314758,0.06135880574584007,0.06864119321107864,0.03500000014901161,1.0,1.3173871040344238,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,10.735007286071777,0.2599952518939972,0,0,1
4,3,-1.16521,0.33870348,-0.034282204,-0.057318404,-2.0855105,2.443753957748413,6.28000020980835,0.06225129961967468,0.06774868816137314,0.03500000014901161,1.0,1.6866261959075928,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,14.571490287780762,0.3836876451969147,0,0,1
4,4,-1.449378,0.046044193,0.012085719,-0.036981594,1.7396246,6.28000020980835,-4.969965934753418,0.06507442891597748,0.06492556631565094,0.03500000014901161,1.0,1.741539478302002,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,13.437471389770508,0.2611963450908661,0,0,1
4,5,-1.4250549,-0.23874094,0.08567389,0.05267656,0.5621823,4.2709431648254395,6.28000020980835,0.06339762359857559,0.06660237908363342,0.03500000014901161,1.0,1.4150573015213013,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,14.449820518493652,0.3639019727706909,0,0,1
4,6,-1.4446565,0.25159737,0.045266036,0.02400393,-2.6891997,-4.284637928009033,6.084637641906738,0.06358807533979416,0.06641191989183426,0.03500000014901161,1.0,1.8211815357208252,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,14.499702453613281,0.3754993677139282,0,0,1
4,7,-0.8558871,0.44797847,-0.035289373,-0.022636369,-2.6207669,1.48249351978302,6.28000020980835,0.06266282498836517,0.06733717024326324,0.03500000014901161,1.0,1.668846845626831,0.02690743738607248,0.02126100494788128,0.04008244640851861,1.0,1.05,0.0,1.0,11.08052921295166,0.6554654240608215,0,0,1
5,0,-0.85327095,-0.41052923,-0.023813672,0.10614455,1.7987758,4.966580867767334,6.28000020980835,0.06355360150337219,0.06644640117883682,0.03500000014901161,1.0,1.4451549053192139,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,14.416508674621582,0.6405341625213623,0,0,1
5,1,-1.156085,-0.30431297,-0.009795073,0.117364384,1.6504661,6.28000020980835,5.483388900756836,0.06185147538781166,0.06814851611852646,0.03500000014901161,1.0,1.5566575527191162,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,14.213250160217285,0.3677838444709778,0,0,1
5,2,-1.4421437,-0.041196484,0.040242057,0.016091617,0.3464319,5.155174732208252,0.1303844153881073,0.06529407948255539,0.06470591574907303,0.03500000014901161,1.0,1.4319664239883423,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,11.191195487976074,0.2569214105606079,0,0,1
5,3,-1.1685591,0.3314188,-0.030614374,-0.07781918,-1.9270108,3.584092140197754,6.28000020980835,0.06191049888730049,0.06808950006961823,0.03500000014901161,1.0,1.7220518589019775,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,14.366646766662598,0.3721901476383209,0,0,1
5,4,-1.4489518,0.041724253,-7.456188e-05,-0.041302945,1.5446389,6.28000020980835,-4.994218349456787,0.06515112519264221,0.0648488700389862,0.03500000014901161,1.0,1.7123249769210815,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,12.951493263244629,0.2603202760219574,0,0,1
5,5,-1.4164373,-0.2328467,0.08550333,0.0620406,0.6363981,4.691748142242432,6.28000020980835,0.06332413852214813,0.06667585670948029,0.03500000014901161,1.0,1.4149490594863892,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,14.156761169433594,0.35493582487106323,0,0,1
5,6,-1.4423774,0.25297552,0.0054744324,0.004578271,-2.4745245,-3.8465981483459473,5.646597862243652,0.06331239640712738,0.06668759882450104,0.03500000014901161,1.0,1.784481167793274,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,14.191986083984375,0.3735331892967224,0,0,1
5,7,-0.8588693,0.44590542,-0.061132487,-0.03859205,-2.5489643,3.2758123874664307,6.28000020980835,0.06203027069568634,0.06796972453594208,0.03500000014901161,1.0,1.697688341140747,0.029746881830830726,0.024581580998964323,0.04179925043851901,1.0,1.05,0.0,1.0,10.806761741638184,0.6490263342857361,0,0,1
6,0,-0.8560624,-0.39971894,-0.030121408,0.10843006,1.8473878,5.266667366027832,6.28000020980835,0.0634349063038826,0.06656508892774582,0.03500000014901161,1.0,1.4469088315963745,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,14.185297966003418,0.6305772662162781,0,0,1
6,1,-1.1568644,-0.29257822,-0.006492656,0.11763427,1.6223872,6.28000020980835,5.541378974914551,0.06174963340163231,0.06825036555528641,0.03500000014901161,1.0,1.551978588104248,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,14.027070045471191,0.35619229078292847,0,0,1
6,2,-1.437413,-0.04000531,0.049536627,0.009035241,0.13330652,1.3295210599899292,-2.5295209884643555,0.06462425738573074,0.06537573784589767,0.03500000014901161,1.0,1.4268896579742432,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,11.553314208984375,0.2515468895435333,1,0,1
6,3,-1.1713454,0.32237372,-0.025559122,-0.09758107,-1.8163829,4.2990875244140625,6.28000020980835,0.061552081257104874,0.06844791024923325,0.03500000014901161,1.0,1.760703682899475,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,14.141853332519531,0.35982295870780945,0,0,1
6,4,-1.4494,0.038119107,-0.007904908,-0.033109378,1.3127772,4.765673637390137,-4.465673923492432,0.06576882302761078,0.06423117220401764,0.03500000014901161,1.0,1.5435316562652588,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,12.45012378692627,0.2598927915096283,1,0,1
6,5,-1.4078841,-0.22612613,0.08482521,0.06974324,0.69504094,5.004881858825684,6.28000020980835,0.06322716921567917,0.06677282601594925,0.03500000014901161,1.0,1.4177054166793823,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,13.840129852294922,0.3440741300582886,0,0,1
6,6,-1.4431013,0.25251293,-0.0072764866,0.003091876,-2.1517806,-2.6616477966308594,5.620847702026367,0.0625356137752533,0.06746438145637512,0.03500000014901161,1.0,1.801309585571289,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,13.74374771118164,0.3723035156726837,0,0,1
6,7,-0.8660295,0.44046706,-0.07402712,-0.060397286,-2.421768,3.6423680782318115,6.28000020980835,0.0614066906273365,0.06859330087900162,0.03500000014901161,1.0,1.721631407737732,0.03374012169422212,0.029202917818937142,0.04432693073655376,1.0,1.05,0.0,1.0,10.692364692687988,0.6378336548805237,0,0,1
7,0,-0.8594068,-0.38873434,-0.035225272,0.11006473,1.8848404,5.498306751251221,6.28000020980835,0.06332123279571533,0.06667876243591309,0.03500000014901161,1.0,1.448304533958435,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,13.867981910705566,0.6204776763916016,0,0,1
7,1,-1.1573248,-0.28077736,-0.0033704548,0.118057646,1.5960976,6.28000020980835,5.626657485961914,0.06166783720254898,0.06833215802907944,0.03500000014901161,1.0,1.5468659400939941,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,13.750176429748535,0.3447878062725067,0,0,1
7,2,-1.4373409,-0.039947435,-0.020560153,-0.0007259084,-0.018755086,1.4655096530914307,-1.165509581565857,0.06405241042375565,0.06594758480787277,0.03500000014901161,1.0,1.420278549194336,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,11.745433807373047,0.25117287039756775,1,0,1
7,3,-1.1734627,0.3120733,-0.018249493,-0.10522454,-1.7363664,4.7807230949401855,6.28000020980835,0.06120940297842026,0.06879059225320816,0.03500000014901161,1.0,1.7877373695373535,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,13.842798233032227,0.3461979031562805,0,0,1
7,4,-1.4496678,0.036919013,0.0008315628,0.00250284,0.98666644,3.8382043838500977,-3.5382044315338135,0.06558381021022797,0.06441618502140045,0.03500000014901161,1.0,1.5155491828918457,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,11.970376968383789,0.2591387927532196,1,0,1
7,5,-1.3994422,-0.21874498,0.083653234,0.07582733,0.7419016,5.238096714019775,6.28000020980835,0.06312604993581772,0.0668739527463913,0.03500000014901161,1.0,1.420351505279541,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,13.454361915588379,0.332472026348114,0,0,1
7,6,-1.4433789,0.2528662,-0.0026107926,0.0034835588,-1.9276277,-0.3000069558620453,6.248672962188721,0.06204190477728844,0.06795808672904968,0.03500000014901161,1.0,1.7769396305084229,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,13.104575157165527,0.3710314631462097,0,0,1
